juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,33,6,35,6,87,6,98,6,38,10,49,6.0,61.0,8.0,57.0,0.0,0.0,0.0,0.0,54.0,458.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,83.27272727272727,9.818181818181818
Samba Balloon,4,8,5,22,6,42,7,74,8,46,7,54,7.0,48.0,8.0,40.0,0.0,0.0,0.0,0.0,52.0,334.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,60.72727272727273,9.454545454545455
Loco Bus,5,21,12,70,9,40,12,91,12,83,12,67,11.0,77.0,10.0,67.0,0.0,0.0,0.0,0.0,83.0,516.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,93.81818181818181,15.090909090909092
Dragon,7,80,12,172,12,175,12,175,7,102,12,186,12.0,181.0,12.0,152.0,0.0,0.0,0.0,0.0,86.0,1223.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,222.36363636363637,15.636363636363637
Comanche,4,51,9,122,9,170,9,169,9,166,9,164,9.0,145.0,9.0,138.0,0.0,0.0,0.0,0.0,67.0,1125.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,204.54545454545453,12.181818181818182
Ratón Loroco,24,69,72,205,72,209,72,201,61,173,56,153,41.0,121.0,66.0,185.0,0.0,0.0,0.0,0.0,464.0,1316.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,239.27272727272728,84.36363636363636
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,0.0,0.0
Rascacielos,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,0.0,0.0
Tronco Splash,35,92,46,119,87,253,108,283,108,258,108,265,82.0,212.0,66.0,174.0,0.0,0.0,0.0,0.0,640.0,1656.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,301.09090909090907,116.36363636363636
Bumperazo,3,12,10,121,11,159,10,152,10,154,11,163,11.0,168.0,11.0,170.0,0.0,0.0,0.0,0.0,77.0,1099.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,199.8181818181818,14.0
Brincanguro,3,35,7,138,7,137,6,140,6,140,6,140,6.0,140.0,7.0,152.0,0.0,0.0,0.0,0.0,48.0,1022.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,185.8181818181818,8.727272727272727
Moto Bala,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,0.0,0.0
Convoy,5,20,8,31,8,51,6,30,10,29,10,36,11.0,82.0,14.0,71.0,0.0,0.0,0.0,0.0,72.0,350.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,63.63636363636363,13.090909090909092
Bumpercitos,3,7,7,59,7,75,8,58,8,91,8,95,8.0,72.0,7.0,70.0,0.0,0.0,0.0,0.0,56.0,527.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,95.81818181818181,10.181818181818182
Bici Magica,0,0,6,24,9,82,10,87,10,55,10,75,10.0,89.0,10.0,71.0,0.0,0.0,0.0,0.0,65.0,483.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,87.81818181818181,11.818181818181818
Polo Norte,5,13,7,24,9,65,9,44,9,52,7,50,6.0,39.0,8.0,30.0,0.0,0.0,0.0,0.0,60.0,317.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,57.63636363636363,10.909090909090908
Sol De Mi Barrio,0,0,6,24,10,71,11,79,11,100,11,153,10.0,195.0,8.0,146.0,0.0,0.0,0.0,0.0,67.0,768.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,139.63636363636363,12.181818181818182
Tifón,6,66,6,85,7,105,7,98,7,96,7,92,7.0,102.0,7.0,108.0,0.0,0.0,0.0,0.0,54.0,752.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,136.72727272727272,9.818181818181818
Carrusel,6,22,7,44,8,65,9,61,9,66,9,66,9.0,117.0,9.0,124.0,0.0,0.0,0.0,0.0,66.0,565.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,102.72727272727273,12.0
Trencito,2,24,7,144,7,150,7,143,7,138,8,162,8.0,162.0,8.0,159.0,0.0,0.0,0.0,0.0,54.0,1082.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,196.72727272727272,9.818181818181818
El Revoloteo,6,77,6,109,6,131,6,132,5,103,6,122,6.0,121.0,6.0,116.0,0.0,0.0,0.0,0.0,47.0,911.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,165.63636363636363,8.545454545454545
Guerra Pirata,0,0,0,0,6,73,6,76,6,81,6,80,6.0,86.0,6.0,84.0,0.0,0.0,0.0,0.0,36.0,480.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,87.27272727272727,6.545454545454546
Faro Saltarín,4,33,11,108,11,101,10,101,10,100,11,105,11.0,121.0,9.0,82.0,0.0,0.0,0.0,0.0,77.0,751.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,136.54545454545453,14.0
El Relámpago,9,65,18,139,26,198,27,206,31,215,36,281,31.0,236.0,33.0,259.0,0.0,0.0,0.0,0.0,211.0,1599.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,290.72727272727275,38.36363636363637
Casichoco,4,13,5,25,6,74,7,50,6,49,7,89,6.0,43.0,5.0,19.0,0.0,0.0,0.0,0.0,46.0,362.0,2022-01-07,False,Ninguno,24.0,12.0,Moderate or heavy rain shower,0,65.81818181818181,8.363636363636363
