juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,2,11,7,58,6,87,6,98,6,98,6,98,6.0,101.0,6.0,71.0,0.0,0.0,0.0,0.0,45.0,622.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,113.0909090909091,8.181818181818182
Samba Balloon,5,23,6,26,7,102,7,108,7,100,8,87,8.0,99.0,8.0,89.0,0.0,0.0,0.0,0.0,56.0,634.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,115.27272727272727,10.181818181818182
Loco Bus,0,0,4,15,6,20,6,60,10,112,6,60,8.0,81.0,6.0,61.0,0.0,0.0,0.0,0.0,46.0,409.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,74.36363636363636,8.363636363636363
Dragon,8,105,12,201,12,226,11,213,12,239,12,228,12.0,237.0,13.0,235.0,0.0,0.0,0.0,0.0,92.0,1684.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,306.1818181818182,16.727272727272727
Comanche,5,68,9,196,10,257,10,214,8,181,9,195,9.0,201.0,8.0,171.0,0.0,0.0,0.0,0.0,68.0,1483.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,269.6363636363636,12.363636363636363
Ratón Loroco,34,104,72,199,72,201,72,172,72,208,72,202,72.0,200.0,56.0,159.0,0.0,0.0,0.0,0.0,522.0,1445.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,262.72727272727275,94.9090909090909
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,0.0,0.0
Rascacielos,8,102,8,142,8,141,8,142,8,142,8,143,8.0,141.0,8.0,141.0,0.0,0.0,0.0,0.0,64.0,1094.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,198.9090909090909,11.636363636363637
Tronco Splash,66,189,108,282,128,341,136,374,128,361,138,379,144.0,370.0,128.0,309.0,0.0,0.0,0.0,0.0,976.0,2605.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,473.6363636363636,177.45454545454547
Bumperazo,6,73,6,151,6,162,6,170,6,163,6,164,6.0,169.0,6.0,166.0,0.0,0.0,0.0,0.0,48.0,1218.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,221.45454545454547,8.727272727272727
Brincanguro,5,87,6,135,6,140,7,160,7,162,7,159,7.0,153.0,7.0,160.0,0.0,0.0,0.0,0.0,52.0,1156.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,210.1818181818182,9.454545454545455
Moto Bala,11,110,18,211,17,203,17,200,17,199,17,197,17.0,197.0,17.0,197.0,0.0,0.0,0.0,0.0,131.0,1514.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,275.27272727272725,23.818181818181817
Convoy,6,32,10,51,10,93,14,104,10,79,11,51,11.0,101.0,11.0,64.0,0.0,0.0,0.0,0.0,83.0,575.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,104.54545454545455,15.090909090909092
Bumpercitos,6,26,9,77,6,76,6,71,7,84,9,48,9.0,73.0,8.0,79.0,0.0,0.0,0.0,0.0,60.0,534.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,97.0909090909091,10.909090909090908
Bici Magica,3,33,10,89,11,120,10,112,10,112,9,91,9.0,76.0,8.0,81.0,0.0,0.0,0.0,0.0,70.0,714.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,129.8181818181818,12.727272727272727
Polo Norte,0,0,0,0,0,0,5,28,7,45,8,49,10.0,53.0,10.0,58.0,0.0,0.0,0.0,0.0,40.0,233.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,42.36363636363637,7.2727272727272725
Sol De Mi Barrio,0,0,3,44,5,77,6,109,4,126,4,225,4.0,248.0,6.0,301.0,0.0,0.0,0.0,0.0,32.0,1130.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,205.45454545454547,5.818181818181818
Tifón,6,90,7,105,8,117,6,98,8,117,8,119,8.0,120.0,8.0,120.0,0.0,0.0,0.0,0.0,59.0,886.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,161.0909090909091,10.727272727272727
Carrusel,5,26,9,92,9,195,7,160,9,279,8,201,9.0,181.0,9.0,136.0,0.0,0.0,0.0,0.0,65.0,1270.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,230.9090909090909,11.818181818181818
Trencito,3,35,7,135,7,195,7,206,7,211,7,218,7.0,212.0,7.0,213.0,0.0,0.0,0.0,0.0,52.0,1425.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,259.09090909090907,9.454545454545455
El Revoloteo,3,26,7,143,7,160,8,182,7,161,7,160,7.0,165.0,7.0,161.0,0.0,0.0,0.0,0.0,53.0,1158.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,210.54545454545453,9.636363636363637
Guerra Pirata,2,14,6,74,8,149,8,161,8,176,8,178,8.0,162.0,7.0,141.0,0.0,0.0,0.0,0.0,55.0,1055.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,191.8181818181818,10.0
Faro Saltarín,5,42,8,62,9,106,9,110,11,127,10,105,10.0,114.0,9.0,105.0,0.0,0.0,0.0,0.0,71.0,771.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,140.1818181818182,12.909090909090908
El Relámpago,9,56,11,84,16,130,17,140,17,140,17,146,19.0,160.0,19.0,162.0,0.0,0.0,0.0,0.0,125.0,1018.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,185.0909090909091,22.727272727272727
Casichoco,2,14,7,52,6,86,6,118,6,94,6,29,6.0,72.0,6.0,53.0,0.0,0.0,0.0,0.0,45.0,518.0,2022-08-04,False,Ninguno,24.0,13.0,Cloudy,0,94.18181818181819,8.181818181818182
