juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,80,6,100,6,103,6,100,6,90,6,90,6.0,108.0,6.0,100.0,6.0,103.0,0.0,0.0,54.0,874.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,158.9090909090909,9.818181818181818
Samba Balloon,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0,132.0,8.0,125.0,0.0,0.0,16.0,257.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,46.72727272727273,2.909090909090909
Loco Bus,8,52,10,95,8,110,10,99,10,112,12,136,10.0,125.0,11.0,129.0,11.0,136.0,0.0,0.0,90.0,994.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,180.72727272727272,16.363636363636363
Dragon,12,192,14,211,14,223,14,228,14,237,14,223,14.0,218.0,14.0,242.0,14.0,249.0,0.0,0.0,124.0,2023.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,367.8181818181818,22.545454545454547
Comanche,5,80,9,163,9,172,9,175,9,167,9,166,9.0,167.0,9.0,164.0,9.0,181.0,0.0,0.0,77.0,1435.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,260.90909090909093,14.0
Ratón Loroco,0,0,0,0,66,191,88,266,83,247,90,278,79.0,234.0,79.0,240.0,79.0,264.0,0.0,0.0,564.0,1720.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,312.72727272727275,102.54545454545455
Remolino,46,175,72,262,72,294,72,272,72,259,72,268,72.0,274.0,72.0,269.0,72.0,306.0,0.0,0.0,622.0,2379.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,432.54545454545456,113.0909090909091
Rascacielos,8,131,10,176,10,179,10,174,9,158,10,176,10.0,178.0,10.0,175.0,10.0,177.0,0.0,0.0,87.0,1524.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,277.09090909090907,15.818181818181818
Tronco Splash,72,188,122,338,144,418,144,422,144,380,144,379,144.0,402.0,144.0,414.0,144.0,405.0,0.0,0.0,1202.0,3346.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,608.3636363636364,218.54545454545453
Bumperazo,7,98,11,256,11,249,11,258,11,242,11,241,11.0,249.0,11.0,246.0,11.0,272.0,0.0,0.0,95.0,2111.0,2022-01-02,False,Ninguno,27.0,13.0,Patchy rain possible,0,383.8181818181818,17.272727272727273
