juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,2,7,4,30,6,65,5,39,8,56,7,31,8.0,31.0,7.0,27.0,0.0,0.0,0.0,0.0,47.0,286.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,52.0,8.545454545454545
Samba Balloon,0,0,6,18,7,36,6,45,8,45,8,35,7.0,39.0,6.0,36.0,0.0,0.0,0.0,0.0,48.0,254.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,46.18181818181818,8.727272727272727
Loco Bus,1,7,7,23,7,55,8,58,9,53,10,56,9.0,49.0,11.0,71.0,0.0,0.0,0.0,0.0,62.0,372.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,67.63636363636364,11.272727272727273
Dragon,2,12,9,49,1,11,10,95,11,70,12,87,12.0,112.0,14.0,62.0,0.0,0.0,0.0,0.0,71.0,498.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,90.54545454545455,12.909090909090908
Comanche,0,0,7,27,11,95,10,109,11,139,9,56,8.0,82.0,9.0,45.0,0.0,0.0,0.0,0.0,65.0,553.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,100.54545454545455,11.818181818181818
Ratón Loroco,0,0,28,71,34,93,35,102,46,128,46,107,46.0,137.0,46.0,120.0,0.0,0.0,0.0,0.0,281.0,758.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,137.8181818181818,51.09090909090909
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,0.0,0.0
Rascacielos,0,0,4,14,7,50,7,91,5,46,5,52,8.0,64.0,6.0,41.0,0.0,0.0,0.0,0.0,42.0,358.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,65.0909090909091,7.636363636363637
Tronco Splash,3,8,28,63,35,77,48,105,35,85,46,109,25.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,500.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,90.9090909090909,40.0
Bumperazo,0,0,5,20,8,106,9,86,9,122,8,119,9.0,129.0,9.0,120.0,0.0,0.0,0.0,0.0,57.0,702.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,127.63636363636364,10.363636363636363
Brincanguro,1,4,7,55,6,78,5,92,6,70,6,89,7.0,93.0,7.0,72.0,0.0,0.0,0.0,0.0,45.0,553.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,100.54545454545455,8.181818181818182
Moto Bala,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,0.0,0.0
Convoy,7,33,5,15,11,54,8,42,8,36,10,47,13.0,40.0,9.0,54.0,0.0,0.0,0.0,0.0,71.0,321.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,58.36363636363637,12.909090909090908
Bumpercitos,0,0,6,41,6,27,5,16,6,28,5,29,7.0,23.0,7.0,51.0,0.0,0.0,0.0,0.0,42.0,215.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,39.09090909090909,7.636363636363637
Bici Magica,1,4,6,25,10,39,10,36,6,42,6,38,10.0,63.0,10.0,48.0,0.0,0.0,0.0,0.0,59.0,295.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,53.63636363636363,10.727272727272727
Polo Norte,1,3,7,20,7,26,6,7,6,22,7,37,7.0,35.0,8.0,33.0,0.0,0.0,0.0,0.0,49.0,183.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,33.27272727272727,8.909090909090908
Sol De Mi Barrio,0,0,6,19,5,19,10,67,7,42,8,53,8.0,64.0,7.0,43.0,0.0,0.0,0.0,0.0,51.0,307.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,55.81818181818182,9.272727272727273
Tifón,2,5,7,38,6,30,7,71,7,56,7,93,7.0,82.0,7.0,75.0,0.0,0.0,0.0,0.0,50.0,450.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,81.81818181818181,9.090909090909092
Carrusel,2,7,6,30,7,61,11,63,3,22,2,14,8.0,42.0,8.0,50.0,0.0,0.0,0.0,0.0,47.0,289.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,52.54545454545455,8.545454545454545
Trencito,0,0,4,44,6,85,7,121,8,126,7,121,7.0,99.0,7.0,115.0,0.0,0.0,0.0,0.0,46.0,711.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,129.27272727272728,8.363636363636363
El Revoloteo,0,0,8,42,6,55,0,0,7,77,9,93,8.0,90.0,8.0,97.0,0.0,0.0,0.0,0.0,46.0,454.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,82.54545454545455,8.363636363636363
Guerra Pirata,0,0,7,25,8,75,7,85,5,56,6,67,5.0,78.0,6.0,58.0,0.0,0.0,0.0,0.0,44.0,444.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,80.72727272727273,8.0
Faro Saltarín,3,13,8,37,9,72,8,76,9,57,10,53,10.0,77.0,9.0,84.0,0.0,0.0,0.0,0.0,66.0,469.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,85.27272727272727,12.0
El Relámpago,0,0,9,40,16,105,14,95,17,115,15,92,14.0,103.0,11.0,61.0,0.0,0.0,0.0,0.0,96.0,611.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,111.0909090909091,17.454545454545453
Casichoco,3,22,5,25,5,28,4,17,7,36,6,29,6.0,35.0,4.0,36.0,0.0,0.0,0.0,0.0,40.0,228.0,2022-02-03,False,Ninguno,26.0,13.0,Cloudy,0,41.45454545454545,7.2727272727272725
