juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,2,20,6,102,7,121,6,112,6,103,6,100,6.0,59.0,6.0,64.0,0.0,0.0,0.0,0.0,45.0,681.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,123.81818181818181,8.181818181818182
Samba Balloon,5,46,6,87,7,116,6,84,6,64,6,54,6.0,45.0,6.0,36.0,0.0,0.0,0.0,0.0,48.0,532.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,96.72727272727273,8.727272727272727
Loco Bus,5,51,10,102,10,139,10,147,11,159,11,89,12.0,108.0,10.0,68.0,0.0,0.0,0.0,0.0,79.0,863.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,156.9090909090909,14.363636363636363
Dragon,8,72,16,243,18,310,18,284,18,325,18,282,18.0,291.0,18.0,302.0,0.0,0.0,0.0,0.0,132.0,2109.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,383.45454545454544,24.0
Comanche,6,77,7,151,8,204,9,210,8,178,9,202,9.0,196.0,10.0,211.0,0.0,0.0,0.0,0.0,66.0,1429.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,259.8181818181818,12.0
Ratón Loroco,36,100,66,214,66,196,64,186,67,192,67,205,66.0,224.0,66.0,193.0,0.0,0.0,0.0,0.0,567.0,1786.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,299.6363636363636,96.81818181818181
Remolino,25,90,56,207,72,318,72,367,72,346,72,355,72.0,356.0,72.0,309.0,0.0,0.0,0.0,0.0,513.0,2348.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,426.90909090909093,93.27272727272727
Rascacielos,8,97,8,144,8,144,8,144,8,144,8,144,8.0,144.0,8.0,144.0,0.0,0.0,0.0,0.0,64.0,1105.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,200.9090909090909,11.636363636363637
Tronco Splash,56,135,97,260,108,325,120,310,137,344,138,366,140.0,391.0,128.0,343.0,0.0,0.0,0.0,0.0,924.0,2474.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,449.8181818181818,168.0
Bumperazo,6,76,6,153,7,184,7,198,7,188,6,158,7.0,191.0,7.0,190.0,0.0,0.0,0.0,0.0,62.0,1569.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,264.27272727272725,10.454545454545455
Brincanguro,6,77,6,136,6,144,6,132,6,140,6,144,6.0,138.0,6.0,135.0,0.0,0.0,0.0,0.0,48.0,1046.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,190.1818181818182,8.727272727272727
Moto Bala,14,127,30,347,30,356,30,350,30,346,32,368,31.0,359.0,32.0,374.0,0.0,0.0,0.0,0.0,260.0,2943.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,506.3636363636364,44.45454545454545
Convoy,13,69,12,92,14,151,11,102,12,66,13,83,15.0,98.0,14.0,93.0,0.0,0.0,0.0,0.0,104.0,754.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,137.0909090909091,18.90909090909091
Bumpercitos,9,42,7,89,8,97,8,101,7,83,8,91,8.0,94.0,8.0,94.0,0.0,0.0,0.0,0.0,63.0,691.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,125.63636363636364,11.454545454545455
Bici Magica,5,19,10,85,12,126,12,132,11,95,12,100,10.0,80.0,11.0,106.0,0.0,0.0,0.0,0.0,83.0,743.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,135.0909090909091,15.090909090909092
Polo Norte,9,34,12,89,10,63,10,62,12,75,12,64,12.0,69.0,12.0,73.0,0.0,0.0,0.0,0.0,89.0,529.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,96.18181818181819,16.181818181818183
Sol De Mi Barrio,5,36,7,69,7,99,7,113,7,192,7,243,7.0,114.0,7.0,65.0,0.0,0.0,0.0,0.0,54.0,931.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,169.27272727272728,9.818181818181818
Tifón,8,113,10,154,10,156,10,157,6,92,10,154,10.0,156.0,10.0,155.0,0.0,0.0,0.0,0.0,74.0,1137.0,2022-12-09,False,Ninguno,20.0,13.0,Patchy rain possible,0,206.72727272727272,13.454545454545455
