juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,8,51,7,89,6,100,6,105,6,98,6,103,6.0,71.0,5.0,71.0,0.0,0.0,0.0,0.0,50.0,688.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,125.0909090909091,9.090909090909092
Samba Balloon,8,43,7,79,7,105,7,92,7,95,7,110,6.0,92.0,7.0,75.0,0.0,0.0,0.0,0.0,56.0,691.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,125.63636363636364,10.181818181818182
Loco Bus,10,56,10,79,10,93,10,84,10,78,10,74,10.0,75.0,10.0,80.0,0.0,0.0,0.0,0.0,80.0,619.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,112.54545454545455,14.545454545454545
Dragon,13,208,13,215,12,203,10,176,10,165,13,223,13.0,220.0,12.0,208.0,0.0,0.0,0.0,0.0,96.0,1618.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,294.1818181818182,17.454545454545453
Comanche,10,216,10,219,12,260,11,235,11,236,12,257,11.0,235.0,11.0,235.0,0.0,0.0,0.0,0.0,88.0,1893.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,344.1818181818182,16.0
Ratón Loroco,0,0,0,0,0,0,0,0,0,0,36,101,72.0,220.0,72.0,206.0,0.0,0.0,0.0,0.0,180.0,527.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,95.81818181818181,32.72727272727273
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,0.0,0.0
Rascacielos,6,94,7,122,8,141,8,144,8,137,8,141,8.0,142.0,8.0,142.0,0.0,0.0,0.0,0.0,61.0,1063.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,193.27272727272728,11.090909090909092
Tronco Splash,82,224,66,182,106,295,132,356,120,322,124,306,128.0,350.0,127.0,322.0,0.0,0.0,0.0,0.0,885.0,2357.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,428.54545454545456,160.9090909090909
Bumperazo,8,77,8,125,8,126,8,133,8,129,8,126,8.0,130.0,8.0,129.0,0.0,0.0,0.0,0.0,64.0,975.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,177.27272727272728,11.636363636363637
Brincanguro,5,136,8,183,8,180,8,181,7,155,7,158,8.0,181.0,8.0,181.0,0.0,0.0,0.0,0.0,59.0,1355.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,246.36363636363637,10.727272727272727
Moto Bala,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,0.0,0.0
Convoy,8,21,13,91,13,115,11,75,11,56,12,72,9.0,92.0,10.0,105.0,0.0,0.0,0.0,0.0,87.0,627.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,114.0,15.818181818181818
Bumpercitos,6,29,7,104,6,88,6,88,5,76,6,85,7.0,103.0,8.0,95.0,0.0,0.0,0.0,0.0,51.0,668.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,121.45454545454545,9.272727272727273
Bici Magica,6,20,9,83,12,130,11,105,11,114,11,123,11.0,123.0,12.0,126.0,0.0,0.0,0.0,0.0,83.0,824.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,149.8181818181818,15.090909090909092
Polo Norte,12,66,11,64,8,48,12,57,8,46,11,63,12.0,69.0,12.0,70.0,0.0,0.0,0.0,0.0,86.0,483.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,87.81818181818181,15.636363636363637
Sol De Mi Barrio,3,12,8,45,7,109,6,137,8,217,9,288,10.0,230.0,11.0,174.0,0.0,0.0,0.0,0.0,62.0,1212.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,220.36363636363637,11.272727272727273
Tifón,8,112,8,128,9,144,8,126,9,143,9,142,9.0,141.0,9.0,141.0,0.0,0.0,0.0,0.0,69.0,1077.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,195.8181818181818,12.545454545454545
Carrusel,11,45,11,122,10,120,9,149,9,188,10,185,5.0,153.0,7.0,160.0,0.0,0.0,0.0,0.0,72.0,1122.0,2022-04-12,False,Ninguno,27.0,16.0,Patchy rain possible,0,204.0,13.090909090909092
