juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,72,6,105,6,107,6,108,6,104,6,100,6.0,108.0,6.0,102.0,6.0,99.0,0.0,0.0,54.0,905.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,164.54545454545453,9.818181818181818
Samba Balloon,7,47,8,108,8,139,7,119,8,135,8,140,9.0,151.0,8.0,158.0,8.0,126.0,0.0,0.0,71.0,1123.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,204.1818181818182,12.909090909090908
Loco Bus,10,59,10,85,10,74,9,67,10,80,10,88,10.0,86.0,10.0,86.0,10.0,82.0,0.0,0.0,89.0,707.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,128.54545454545453,16.181818181818183
Dragon,10,175,13,239,12,219,11,203,10,186,12,223,10.0,187.0,10.0,188.0,11.0,204.0,0.0,0.0,99.0,1824.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,331.6363636363636,18.0
Comanche,10,180,10,205,10,208,10,214,10,207,10,205,10.0,205.0,10.0,199.0,10.0,217.0,0.0,0.0,90.0,1840.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,334.54545454545456,16.363636363636363
Ratón Loroco,76,213,80,240,82,230,78,238,83,241,82,246,82.0,239.0,88.0,272.0,86.0,248.0,0.0,0.0,737.0,2167.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,394.0,134.0
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,0.0,0.0
Rascacielos,7,121,8,141,9,162,8,141,5,90,8,141,8.0,140.0,8.0,140.0,8.0,138.0,0.0,0.0,69.0,1214.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,220.72727272727272,12.545454545454545
Tronco Splash,72,193,131,344,128,341,144,391,118,332,137,359,135.0,370.0,125.0,346.0,141.0,398.0,0.0,0.0,1131.0,3074.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,558.9090909090909,205.63636363636363
Bumperazo,4,58,7,124,7,112,7,113,7,124,7,120,7.0,115.0,7.0,121.0,7.0,115.0,0.0,0.0,60.0,1002.0,2022-05-01,True,Día del Trabajo,28.0,15.0,Patchy rain possible,0,182.1818181818182,10.909090909090908
