juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,7,59,5,81,5,86,5,86,4,70,5,85,5.0,86.0,7.0,115.0,5.0,74.0,0.0,0.0,48.0,742.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,134.9090909090909,8.727272727272727
Samba Balloon,6,42,7,79,7,119,7,118,7,115,7,114,7.0,114.0,7.0,117.0,7.0,80.0,0.0,0.0,62.0,898.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,163.27272727272728,11.272727272727273
Loco Bus,9,59,10,80,9,65,10,81,10,92,10,94,10.0,82.0,10.0,89.0,10.0,87.0,0.0,0.0,88.0,729.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,132.54545454545453,16.0
Dragon,6,101,13,225,13,229,13,224,13,226,13,234,13.0,231.0,13.0,235.0,13.0,233.0,0.0,0.0,110.0,1938.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,352.3636363636364,20.0
Comanche,7,124,8,164,10,214,10,203,10,206,10,214,10.0,212.0,9.0,172.0,11.0,240.0,0.0,0.0,85.0,1749.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,318.0,15.454545454545455
Ratón Loroco,10,33,78,230,81,235,85,247,82,250,81,246,83.0,247.0,85.0,233.0,82.0,253.0,0.0,0.0,667.0,1974.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,358.90909090909093,121.27272727272727
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,0.0,0.0
Rascacielos,3,51,7,121,8,144,8,140,8,142,8,138,8.0,142.0,8.0,144.0,8.0,144.0,0.0,0.0,66.0,1166.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,212.0,12.0
Tronco Splash,43,109,117,317,120,308,123,335,123,331,116,307,126.0,339.0,128.0,346.0,135.0,378.0,0.0,0.0,1031.0,2770.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,503.6363636363636,187.45454545454547
Bumperazo,5,59,8,125,7,112,7,121,8,128,8,138,8.0,126.0,8.0,134.0,8.0,140.0,0.0,0.0,67.0,1083.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,196.9090909090909,12.181818181818182
Brincanguro,3,64,8,184,7,159,7,161,7,161,7,158,8.0,184.0,8.0,184.0,8.0,183.0,0.0,0.0,63.0,1438.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,261.45454545454544,11.454545454545455
Moto Bala,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,0.0,0.0
