juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,1,10,4,13,6,52,7,53,7,55,10,48,3.0,12.0,5.0,25.0,0.0,0.0,0.0,0.0,43.0,268.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,48.72727272727273,7.818181818181818
Samba Balloon,5,14,6,54,8,31,7,56,7,35,8,41,7.0,31.0,4.0,8.0,0.0,0.0,0.0,0.0,52.0,270.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,49.09090909090909,9.454545454545455
Loco Bus,3,10,8,64,10,79,10,76,9,63,8,46,4.0,29.0,3.0,7.0,0.0,0.0,0.0,0.0,55.0,374.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,68.0,10.0
Dragon,3,20,11,126,12,192,12,173,12,145,17,192,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,870.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,158.1818181818182,12.545454545454545
Comanche,4,14,10,140,9,166,10,169,10,147,8,114,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,54.0,773.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,140.54545454545453,9.818181818181818
Ratón Loroco,8,21,61,192,61,205,61,176,62,170,66,182,25.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,1017.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,184.9090909090909,62.54545454545455
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,0.0,0.0
Rascacielos,3,22,9,129,9,126,8,113,8,112,9,112,5.0,56.0,10.0,64.0,0.0,0.0,0.0,0.0,61.0,734.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,133.45454545454547,11.090909090909092
Tronco Splash,16,42,72,201,77,208,83,210,81,208,77,187,63.0,160.0,47.0,103.0,0.0,0.0,0.0,0.0,516.0,1319.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,239.8181818181818,93.81818181818181
Bumperazo,5,74,7,148,7,176,7,184,7,189,7,187,7.0,191.0,5.0,138.0,0.0,0.0,0.0,0.0,52.0,1287.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,234.0,9.454545454545455
Brincanguro,2,10,9,127,8,159,7,78,7,124,7,147,4.0,40.0,7.0,116.0,0.0,0.0,0.0,0.0,51.0,801.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,145.63636363636363,9.272727272727273
Moto Bala,9,50,16,187,18,209,16,188,16,183,18,212,6.0,60.0,5.0,57.0,0.0,0.0,0.0,0.0,104.0,1146.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,208.36363636363637,18.90909090909091
Convoy,4,10,8,32,12,49,12,49,12,52,12,40,5.0,18.0,7.0,22.0,0.0,0.0,0.0,0.0,72.0,272.0,2022-09-01,False,Ninguno,22.0,16.0,Moderate or heavy rain shower,0,49.45454545454545,13.090909090909092
