juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,0.0,0.0
Samba Balloon,0,0,0,0,5,53,9,62,7,38,7,76,6.0,42.0,5.0,19.0,0.0,0.0,0.0,0.0,39.0,290.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,52.72727272727273,7.090909090909091
Loco Bus,3,35,7,59,8,108,10,86,9,44,8,91,8.0,82.0,9.0,55.0,0.0,0.0,0.0,0.0,62.0,560.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,101.81818181818181,11.272727272727273
Dragon,10,152,16,288,15,263,15,237,15,202,15,209,15.0,204.0,14.0,106.0,0.0,0.0,0.0,0.0,115.0,1661.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,302.0,20.90909090909091
Comanche,7,67,11,253,7,165,8,186,9,186,9,210,8.0,185.0,7.0,89.0,0.0,0.0,0.0,0.0,66.0,1341.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,243.8181818181818,12.0
Ratón Loroco,36,118,99,287,90,274,72,213,81,249,94,268,88.0,240.0,74.0,224.0,0.0,0.0,0.0,0.0,634.0,1873.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,340.54545454545456,115.27272727272727
Remolino,30,136,72,375,72,392,72,374,72,310,72,367,72.0,367.0,56.0,241.0,0.0,0.0,0.0,0.0,518.0,2562.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,465.8181818181818,94.18181818181819
Rascacielos,6,88,9,159,9,162,9,162,9,162,9,162,9.0,158.0,9.0,144.0,0.0,0.0,0.0,0.0,69.0,1197.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,217.63636363636363,12.545454545454545
Tronco Splash,72,216,131,398,143,403,138,373,113,322,142,414,128.0,316.0,89.0,237.0,0.0,0.0,0.0,0.0,956.0,2679.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,487.09090909090907,173.8181818181818
Bumperazo,7,197,7,175,7,203,7,206,7,204,7,197,7.0,196.0,7.0,204.0,0.0,0.0,0.0,0.0,56.0,1582.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,287.6363636363636,10.181818181818182
Brincanguro,5,98,7,147,7,162,7,151,7,160,7,150,7.0,156.0,7.0,136.0,0.0,0.0,0.0,0.0,54.0,1160.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,210.9090909090909,9.818181818181818
Moto Bala,5,60,18,216,18,216,18,216,18,208,18,216,18.0,216.0,18.0,206.0,0.0,0.0,0.0,0.0,131.0,1554.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,282.54545454545456,23.818181818181817
Convoy,4,16,7,53,13,54,11,48,12,52,12,71,14.0,69.0,12.0,58.0,0.0,0.0,0.0,0.0,85.0,421.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,76.54545454545455,15.454545454545455
Bumpercitos,3,32,7,35,7,60,7,24,7,25,7,22,7.0,36.0,7.0,45.0,0.0,0.0,0.0,0.0,52.0,279.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,50.72727272727273,9.454545454545455
Bici Magica,6,63,8,89,10,50,8,71,9,50,9,55,9.0,78.0,9.0,72.0,0.0,0.0,0.0,0.0,68.0,528.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,96.0,12.363636363636363
Polo Norte,4,22,11,72,9,27,10,36,11,26,10,53,11.0,50.0,12.0,46.0,0.0,0.0,0.0,0.0,78.0,332.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,60.36363636363637,14.181818181818182
Sol De Mi Barrio,4,43,10,72,6,208,10,89,10,84,3,256,10.0,99.0,5.0,44.0,0.0,0.0,0.0,0.0,58.0,895.0,2022-10-14,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,162.72727272727272,10.545454545454545
