juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,51,4,50,5,62,5,56,2,23,0,0,1.0,13.0,3.0,32.0,0.0,0.0,0.0,0.0,24.0,287.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,52.18181818181818,4.363636363636363
Samba Balloon,6,23,6,57,6,78,7,111,4,66,0,0,3.0,41.0,3.0,14.0,0.0,0.0,0.0,0.0,35.0,390.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,70.9090909090909,6.363636363636363
Loco Bus,6,24,10,80,9,124,8,110,4,60,0,0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,462.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,84.0,7.454545454545454
Dragon,7,108,10,180,10,172,10,183,5,98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,741.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,134.72727272727272,7.636363636363637
Comanche,3,48,9,210,4,96,9,211,5,117,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,682.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,124.0,5.454545454545454
Ratón Loroco,54,148,76,211,87,258,81,216,31,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,919.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,167.0909090909091,59.81818181818182
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,0.0,0.0
Rascacielos,1,16,4,58,8,132,9,158,4,70,0,0,5.0,84.0,9.0,137.0,0.0,0.0,0.0,0.0,40.0,655.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,119.0909090909091,7.2727272727272725
Tronco Splash,32,84,97,250,154,391,180,484,164,453,0,0,85.0,218.0,128.0,322.0,0.0,0.0,0.0,0.0,840.0,2202.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,400.3636363636364,152.72727272727272
Bumperazo,4,74,7,184,6,172,6,169,5,134,0,0,3.0,79.0,7.0,193.0,0.0,0.0,0.0,0.0,38.0,1005.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,182.72727272727272,6.909090909090909
Brincanguro,6,132,6,136,7,159,7,162,4,90,0,0,6.0,104.0,4.0,59.0,0.0,0.0,0.0,0.0,40.0,842.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,153.0909090909091,7.2727272727272725
Moto Bala,14,145,17,194,16,189,16,190,8,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,808.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,146.9090909090909,12.909090909090908
Convoy,9,58,5,23,12,59,12,65,5,36,0,0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,48.0,253.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,46.0,8.727272727272727
Bumpercitos,7,19,8,66,8,88,8,66,6,68,0,0,3.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,43.0,323.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,58.72727272727273,7.818181818181818
Bici Magica,6,17,11,94,11,90,10,67,5,24,0,0,7.0,39.0,4.0,21.0,0.0,0.0,0.0,0.0,54.0,352.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,64.0,9.818181818181818
Polo Norte,3,4,11,59,10,65,10,50,4,20,0,0,4.0,9.0,4.0,14.0,0.0,0.0,0.0,0.0,46.0,221.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,40.18181818181818,8.363636363636363
Sol De Mi Barrio,2,2,4,16,6,35,6,81,5,93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,227.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,41.27272727272727,4.181818181818182
Tifón,8,109,9,130,9,133,8,117,5,71,0,0,5.0,73.0,8.0,113.0,0.0,0.0,0.0,0.0,52.0,746.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,135.63636363636363,9.454545454545455
Carrusel,9,37,9,100,8,105,9,104,5,36,0,0,4.0,46.0,8.0,69.0,0.0,0.0,0.0,0.0,52.0,497.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,90.36363636363636,9.454545454545455
Trencito,7,72,7,181,7,243,7,242,5,162,0,0,7.0,238.0,6.0,173.0,0.0,0.0,0.0,0.0,46.0,1311.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,238.36363636363637,8.363636363636363
El Revoloteo,0,0,0,0,7,160,7,159,4,93,0,0,6.0,135.0,4.0,75.0,0.0,0.0,0.0,0.0,28.0,622.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,113.0909090909091,5.090909090909091
Guerra Pirata,4,27,6,37,6,86,8,150,3,45,0,0,5.0,49.0,3.0,56.0,0.0,0.0,0.0,0.0,35.0,450.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,81.81818181818181,6.363636363636363
Faro Saltarín,4,35,10,113,10,111,10,117,6,65,0,0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,45.0,481.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,87.45454545454545,8.181818181818182
El Relámpago,14,115,26,208,25,203,29,224,11,83,0,0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,857.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,155.8181818181818,19.636363636363637
Casichoco,4,27,7,94,7,74,6,80,3,24,0,0,4.0,33.0,5.0,39.0,0.0,0.0,0.0,0.0,36.0,371.0,2022-09-03,False,Ninguno,21.0,16.0,Moderate or heavy rain shower,0,67.45454545454545,6.545454545454546
