juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,32,6,98,6,110,6,95,6,96,6,106,6.0,99.0,6.0,102.0,6.0,88.0,0.0,0.0,52.0,826.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,150.1818181818182,9.454545454545455
Samba Balloon,6,43,6,94,8,116,8,126,10,165,9,151,9.0,153.0,9.0,150.0,9.0,157.0,0.0,0.0,74.0,1155.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,210.0,13.454545454545455
Loco Bus,6,52,12,189,12,209,12,232,12,184,12,216,12.0,243.0,13.0,263.0,12.0,184.0,0.0,0.0,103.0,1772.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,322.1818181818182,18.727272727272727
Dragon,13,205,10,184,16,295,16,295,15,276,16,306,16.0,295.0,8.0,146.0,16.0,298.0,0.0,0.0,126.0,2300.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,418.1818181818182,22.90909090909091
Comanche,10,169,12,286,11,263,13,312,10,236,8,190,12.0,287.0,6.0,143.0,9.0,213.0,0.0,0.0,91.0,2099.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,381.6363636363636,16.545454545454547
Ratón Loroco,51,178,82,292,75,284,83,291,82,292,85,298,83.0,299.0,82.0,285.0,80.0,286.0,0.0,0.0,703.0,2505.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,455.45454545454544,127.81818181818181
Remolino,46,208,56,316,56,313,56,311,56,332,56,322,61.0,355.0,61.0,359.0,61.0,312.0,0.0,0.0,509.0,2828.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,514.1818181818181,92.54545454545455
Rascacielos,6,91,10,180,10,180,10,179,10,180,10,179,10.0,180.0,10.0,180.0,10.0,180.0,0.0,0.0,86.0,1529.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,278.0,15.636363636363637
Tronco Splash,73,196,119,325,121,322,118,344,118,323,121,335,118.0,320.0,117.0,315.0,115.0,327.0,0.0,0.0,1020.0,2807.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,510.3636363636364,185.45454545454547
Bumperazo,6,119,8,205,8,214,8,213,8,225,8,219,8.0,221.0,8.0,211.0,8.0,209.0,0.0,0.0,70.0,1836.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,333.8181818181818,12.727272727272727
Brincanguro,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,0.0,0.0
Moto Bala,16,178,22,264,24,288,24,288,24,288,22,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1570.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,285.45454545454544,24.0
Convoy,13,54,16,135,14,142,12,113,15,125,15,124,14.0,159.0,14.0,155.0,15.0,105.0,0.0,0.0,128.0,1112.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,202.1818181818182,23.272727272727273
Bumpercitos,7,40,9,89,7,89,6,72,10,120,10,126,10.0,128.0,10.0,126.0,10.0,122.0,0.0,0.0,79.0,912.0,2023-09-24,False,Ninguno,25.0,15.0,Moderate or heavy rain shower,0,165.8181818181818,14.363636363636363
