juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,44,6,118,6,118,6,117,6,119,6,126,6.0,119.0,6.0,116.0,6.0,117.0,0.0,0.0,52.0,994.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,180.72727272727272,9.454545454545455
Samba Balloon,2,18,7,111,7,109,7,124,7,123,7,113,7.0,118.0,7.0,129.0,7.0,125.0,0.0,0.0,58.0,970.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,176.36363636363637,10.545454545454545
Loco Bus,8,37,10,157,10,183,10,186,10,175,10,201,10.0,203.0,10.0,194.0,10.0,143.0,0.0,0.0,88.0,1479.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,268.90909090909093,16.0
Dragon,15,193,17,325,17,330,17,330,17,327,17,333,17.0,320.0,17.0,324.0,16.0,302.0,0.0,0.0,150.0,2784.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,506.1818181818182,27.272727272727273
Comanche,7,131,7,166,8,188,9,213,9,216,7,168,7.0,167.0,9.0,211.0,8.0,192.0,0.0,0.0,71.0,1652.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,300.3636363636364,12.909090909090908
Ratón Loroco,30,107,82,297,9,33,0,0,3,12,0,0,36.0,131.0,77.0,275.0,82.0,295.0,0.0,0.0,319.0,1150.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,209.0909090909091,58.0
Remolino,33,160,61,340,56,324,62,355,62,351,62,356,56.0,315.0,60.0,342.0,56.0,313.0,0.0,0.0,508.0,2856.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,519.2727272727273,92.36363636363636
Rascacielos,8,133,12,216,12,215,12,216,10,179,10,177,10.0,180.0,10.0,180.0,10.0,179.0,0.0,0.0,94.0,1675.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,304.54545454545456,17.09090909090909
Tronco Splash,56,139,164,511,180,495,165,438,180,483,180,497,180.0,509.0,180.0,458.0,180.0,521.0,0.0,0.0,1465.0,4051.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,736.5454545454545,266.3636363636364
Bumperazo,6,86,8,229,7,194,8,238,8,216,8,231,8.0,226.0,8.0,212.0,8.0,207.0,0.0,0.0,69.0,1839.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,334.3636363636364,12.545454545454545
Brincanguro,6,102,7,163,7,163,6,141,6,141,6,140,8.0,187.0,7.0,163.0,8.0,191.0,0.0,0.0,61.0,1391.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,252.9090909090909,11.090909090909092
Moto Bala,18,198,22,264,22,264,23,276,23,276,22,264,22.0,264.0,22.0,261.0,22.0,264.0,0.0,0.0,196.0,2331.0,2023-08-06,False,Ninguno,26.0,15.0,Overcast,0,423.8181818181818,35.63636363636363
