juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,14,6,34,6,36,6,24,6,28,5,22,6.0,17.0,5.0,26.0,0.0,0.0,0.0,0.0,45.0,201.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,36.54545454545455,8.181818181818182
Samba Balloon,4,73,9,98,7,30,5,16,5,10,6,16,6.0,31.0,7.0,41.0,0.0,0.0,0.0,0.0,49.0,315.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,57.27272727272727,8.909090909090908
Loco Bus,7,31,10,61,10,61,10,81,10,43,10,62,10.0,50.0,10.0,37.0,0.0,0.0,0.0,0.0,77.0,426.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,77.45454545454545,14.0
Dragon,10,138,14,199,12,193,14,238,12,178,12,148,10.0,102.0,11.0,92.0,0.0,0.0,0.0,0.0,95.0,1288.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,234.1818181818182,17.272727272727273
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,0.0,0.0
Ratón Loroco,30,112,67,247,78,273,56,182,72,256,63,193,72.0,240.0,72.0,232.0,0.0,0.0,0.0,0.0,510.0,1735.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,315.45454545454544,92.72727272727273
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,0.0,0.0
Rascacielos,6,96,9,160,10,174,10,118,10,174,9,149,10.0,175.0,10.0,118.0,0.0,0.0,0.0,0.0,74.0,1164.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,211.63636363636363,13.454545454545455
Tronco Splash,62,186,128,376,133,387,58,270,108,307,164,496,131.0,375.0,93.0,261.0,0.0,0.0,0.0,0.0,877.0,2658.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,483.27272727272725,159.45454545454547
Bumperazo,8,72,9,149,9,226,10,222,9,220,10,255,10.0,253.0,10.0,250.0,0.0,0.0,0.0,0.0,75.0,1647.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,299.45454545454544,13.636363636363637
Brincanguro,0,0,6,141,9,209,9,143,8,142,8,130,9.0,162.0,11.0,143.0,0.0,0.0,0.0,0.0,60.0,1070.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,194.54545454545453,10.909090909090908
Moto Bala,15,168,21,251,10,116,0,0,0,0,15,178,22.0,260.0,23.0,288.0,0.0,0.0,0.0,0.0,106.0,1261.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,229.27272727272728,19.272727272727273
Convoy,4,8,8,25,9,46,9,36,8,35,9,27,9.0,28.0,17.0,59.0,0.0,0.0,0.0,0.0,73.0,264.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,48.0,13.272727272727273
Bumpercitos,6,10,8,37,8,42,9,65,9,37,10,48,10.0,64.0,9.0,53.0,0.0,0.0,0.0,0.0,69.0,356.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,64.72727272727273,12.545454545454545
Bici Magica,10,63,8,52,10,68,10,72,8,32,9,37,8.0,46.0,9.0,53.0,0.0,0.0,0.0,0.0,72.0,423.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,76.9090909090909,13.090909090909092
Polo Norte,6,14,12,50,11,32,10,29,7,28,5,12,7.0,30.0,8.0,25.0,0.0,0.0,0.0,0.0,66.0,220.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,40.0,12.0
Sol De Mi Barrio,0,0,0,0,8,90,7,102,7,77,8,90,8.0,87.0,6.0,37.0,0.0,0.0,0.0,0.0,44.0,483.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,87.81818181818181,8.0
Tifón,7,111,7,88,7,98,7,110,8,126,8,128,8.0,106.0,8.0,128.0,0.0,0.0,0.0,0.0,60.0,895.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,162.72727272727272,10.909090909090908
Carrusel,7,22,10,45,12,45,13,75,12,40,12,48,13.0,64.0,11.0,69.0,0.0,0.0,0.0,0.0,90.0,408.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,74.18181818181819,16.363636363636363
Trencito,6,38,8,119,8,175,7,131,5,90,5,115,7.0,190.0,5.0,46.0,0.0,0.0,0.0,0.0,51.0,904.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,164.36363636363637,9.272727272727273
El Revoloteo,7,152,10,223,10,222,10,221,10,220,10,224,10.0,214.0,10.0,213.0,0.0,0.0,0.0,0.0,77.0,1689.0,2023-06-26,False,Ninguno,26.0,14.0,Moderate or heavy rain shower,0,307.09090909090907,14.0
