juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,78,6,124,6,95,6,50,6,64,6,50,6.0,34.0,6.0,44.0,0.0,0.0,0.0,0.0,47.0,539.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,98.0,8.545454545454545
Samba Balloon,6,54,10,115,10,151,10,99,9,72,10,139,10.0,74.0,6.0,44.0,0.0,0.0,0.0,0.0,71.0,748.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,136.0,12.909090909090908
Loco Bus,7,96,9,147,9,168,9,117,9,98,9,123,9.0,115.0,7.0,57.0,0.0,0.0,0.0,0.0,68.0,921.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,167.45454545454547,12.363636363636363
Dragon,10,182,14,251,14,272,14,261,14,259,14,264,14.0,263.0,14.0,258.0,0.0,0.0,0.0,0.0,108.0,2010.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,365.45454545454544,19.636363636363637
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,0.0,0.0
Ratón Loroco,71,229,77,249,75,256,76,249,79,247,77,246,82.0,257.0,74.0,228.0,0.0,0.0,0.0,0.0,611.0,1961.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,356.54545454545456,111.0909090909091
Remolino,68,377,72,404,72,399,72,405,72,400,72,397,72.0,404.0,51.0,204.0,0.0,0.0,0.0,0.0,551.0,2990.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,543.6363636363636,100.18181818181819
Rascacielos,9,161,10,180,12,215,10,180,10,180,10,180,10.0,180.0,10.0,76.0,0.0,0.0,0.0,0.0,81.0,1352.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,245.8181818181818,14.727272727272727
Tronco Splash,90,278,82,255,144,455,144,445,144,438,144,422,108.0,334.0,129.0,360.0,0.0,0.0,0.0,0.0,985.0,2987.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,543.0909090909091,179.0909090909091
Bumperazo,7,119,8,202,9,227,7,185,8,203,8,210,8.0,201.0,9.0,130.0,0.0,0.0,0.0,0.0,64.0,1477.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,268.54545454545456,11.636363636363637
Brincanguro,7,165,8,188,9,211,8,189,8,190,7,164,9.0,212.0,9.0,189.0,0.0,0.0,0.0,0.0,65.0,1508.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,274.1818181818182,11.818181818181818
Moto Bala,16,192,18,212,18,213,18,213,18,210,18,216,18.0,214.0,18.0,216.0,0.0,0.0,0.0,0.0,142.0,1686.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,306.54545454545456,25.818181818181817
Convoy,10,62,11,75,8,42,8,34,11,48,12,84,11.0,58.0,5.0,20.0,0.0,0.0,0.0,0.0,76.0,423.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,76.9090909090909,13.818181818181818
Bumpercitos,5,37,7,70,8,91,8,64,9,36,9,57,8.0,103.0,9.0,41.0,0.0,0.0,0.0,0.0,63.0,499.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,90.72727272727273,11.454545454545455
Bici Magica,10,84,11,117,12,129,10,82,10,80,12,116,10.0,89.0,7.0,42.0,0.0,0.0,0.0,0.0,82.0,739.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,134.36363636363637,14.909090909090908
Polo Norte,7,35,12,93,11,58,11,47,11,43,11,47,11.0,53.0,10.0,40.0,0.0,0.0,0.0,0.0,84.0,416.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,75.63636363636364,15.272727272727273
Sol De Mi Barrio,6,102,7,223,6,152,4,240,3,270,3,250,6.0,160.0,5.0,180.0,0.0,0.0,0.0,0.0,40.0,1577.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,286.72727272727275,7.2727272727272725
Tifón,8,126,8,128,8,128,8,128,8,128,8,128,8.0,128.0,8.0,128.0,0.0,0.0,0.0,0.0,64.0,1022.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,185.8181818181818,11.636363636363637
Carrusel,8,163,8,83,8,77,10,60,13,66,13,145,13.0,104.0,13.0,74.0,0.0,0.0,0.0,0.0,86.0,772.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,140.36363636363637,15.636363636363637
Trencito,6,84,7,230,7,257,7,244,8,277,8,320,7.0,264.0,7.0,136.0,0.0,0.0,0.0,0.0,57.0,1812.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,329.45454545454544,10.363636363636363
El Revoloteo,7,149,7,164,7,162,7,165,7,167,7,165,7.0,165.0,7.0,165.0,0.0,0.0,0.0,0.0,56.0,1302.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,236.72727272727272,10.181818181818182
Guerra Pirata,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,0.0,0.0
Faro Saltarín,5,33,3,29,0,0,2,22,0,0,7,82,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,188.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,34.18181818181818,3.4545454545454546
El Relámpago,28,247,33,291,30,261,30,270,28,250,36,324,30.0,270.0,24.0,191.0,0.0,0.0,0.0,0.0,239.0,2104.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,382.54545454545456,43.45454545454545
Casichoco,5,70,6,90,8,83,9,61,7,35,8,40,6.0,92.0,7.0,32.0,0.0,0.0,0.0,0.0,56.0,503.0,2023-04-20,False,Ninguno,28.0,15.0,Moderate rain at times,0,91.45454545454545,10.181818181818182
