juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,57,5,84,5,85,6,110,5,92,4,71,6.0,107.0,5.0,88.0,5.0,85.0,0.0,0.0,45.0,779.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,141.63636363636363,8.181818181818182
Samba Balloon,4,40,9,123,9,140,9,134,10,163,9,151,8.0,128.0,9.0,140.0,9.0,133.0,0.0,0.0,76.0,1152.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,209.45454545454547,13.818181818181818
Loco Bus,6,41,10,119,10,165,10,169,10,162,10,158,5.0,79.0,10.0,164.0,10.0,160.0,0.0,0.0,81.0,1217.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,221.27272727272728,14.727272727272727
Dragon,13,179,13,238,12,223,16,288,15,287,14,256,14.0,264.0,14.0,259.0,15.0,274.0,0.0,0.0,126.0,2268.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,412.3636363636364,22.90909090909091
Comanche,5,94,10,227,9,207,9,208,8,183,9,211,10.0,229.0,9.0,213.0,10.0,239.0,0.0,0.0,79.0,1811.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,329.27272727272725,14.363636363636363
Ratón Loroco,56,157,92,271,92,275,92,284,92,266,92,332,82.0,243.0,92.0,281.0,92.0,253.0,0.0,0.0,782.0,2362.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,429.45454545454544,142.1818181818182
Remolino,36,145,56,301,72,397,72,386,72,398,72,394,72.0,392.0,72.0,397.0,72.0,402.0,0.0,0.0,596.0,3212.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,584.0,108.36363636363636
Rascacielos,7,126,8,144,8,144,8,144,8,144,8,144,8.0,144.0,8.0,144.0,8.0,144.0,0.0,0.0,71.0,1278.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,232.36363636363637,12.909090909090908
Tronco Splash,80,213,144,336,144,384,175,376,170,364,174,391,138.0,362.0,144.0,406.0,180.0,511.0,0.0,0.0,1349.0,3343.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,607.8181818181819,245.27272727272728
Bumperazo,8,59,9,192,8,213,9,241,8,228,8,215,8.0,212.0,8.0,209.0,7.0,178.0,0.0,0.0,73.0,1747.0,2023-03-05,False,Ninguno,31.0,14.0,Sunny,0,317.6363636363636,13.272727272727273
