juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,0,0,4,21,7,31,2,35,5,18,7,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,142.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,25.818181818181817,4.545454545454546
Samba Balloon,0,0,5,16,3,20,0,0,7,38,7,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,110.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,20.0,4.0
Loco Bus,0,0,2,5,10,60,2,7,9,53,10,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,180.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,32.72727272727273,6.0
Dragon,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,0.0,0.0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,0.0,0.0
Ratón Loroco,0,0,30,96,36,136,3,11,36,126,35,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,483.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,87.81818181818181,25.454545454545453
Remolino,0,0,13,40,30,119,20,101,36,182,34,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,577.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,104.9090909090909,24.181818181818183
Rascacielos,0,0,0,0,5,73,1,10,5,58,7,53,7.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,290.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,52.72727272727273,4.545454545454546
Tronco Splash,0,0,19,62,36,89,16,41,36,88,36,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,389.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,70.72727272727273,26.0
Bumperazo,0,0,2,15,5,104,4,64,5,123,6,149,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,527.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,95.81818181818181,4.545454545454546
Brincanguro,0,0,5,59,6,112,2,40,5,66,6,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,396.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,72.0,4.363636363636363
Moto Bala,0,0,8,63,13,125,2,23,12,124,12,108,11.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,553.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,100.54545454545455,10.545454545454545
Convoy,0,0,8,26,10,46,2,10,11,35,13,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,159.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,28.90909090909091,8.0
Bumpercitos,0,0,7,25,8,22,3,7,9,26,10,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,147.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,26.727272727272727,6.7272727272727275
Bici Magica,0,0,7,54,2,13,0,0,8,40,6,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,149.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,27.09090909090909,4.181818181818182
Polo Norte,0,0,10,51,10,31,3,9,7,25,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,137.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,24.90909090909091,7.090909090909091
Sol De Mi Barrio,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,0.0,0.0
Tifón,0,0,3,30,4,23,3,13,5,36,6,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,161.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,29.272727272727273,3.8181818181818183
Carrusel,0,0,9,66,13,107,6,26,13,69,13,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,393.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,71.45454545454545,9.818181818181818
Trencito,0,0,3,66,5,166,0,0,5,144,5,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,535.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,97.27272727272727,3.272727272727273
El Revoloteo,0,0,6,35,9,107,2,28,8,153,9,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,480.0,2023-11-13,False,Ninguno,23.0,15.0,Patchy rain possible,0,87.27272727272727,6.181818181818182
