juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,83,6,108,6,111,6,114,6,109,6,99,6.0,105.0,6.0,97.0,0.0,0.0,0.0,0.0,48.0,826.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,150.1818181818182,8.727272727272727
Samba Balloon,8,95,10,190,10,170,10,185,10,174,10,157,10.0,187.0,10.0,117.0,0.0,0.0,0.0,0.0,78.0,1275.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,231.8181818181818,14.181818181818182
Loco Bus,9,104,9,120,9,159,9,171,9,156,9,174,9.0,175.0,8.0,135.0,0.0,0.0,0.0,0.0,71.0,1194.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,217.0909090909091,12.909090909090908
Dragon,11,215,11,220,14,280,14,280,14,270,5,95,7.0,134.0,14.0,275.0,0.0,0.0,0.0,0.0,90.0,1769.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,321.6363636363636,16.363636363636363
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,0.0,0.0
Ratón Loroco,56,203,83,323,86,310,94,339,88,323,36,134,87.0,312.0,83.0,301.0,0.0,0.0,0.0,0.0,613.0,2245.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,408.1818181818182,111.45454545454545
Remolino,59,302,72,404,72,424,72,420,52,300,72,429,72.0,408.0,56.0,309.0,0.0,0.0,0.0,0.0,527.0,2996.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,544.7272727272727,95.81818181818181
Rascacielos,11,198,10,180,11,198,10,180,11,198,4,72,11.0,198.0,10.0,180.0,0.0,0.0,0.0,0.0,78.0,1404.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,255.27272727272728,14.181818181818182
Tronco Splash,92,264,167,495,159,478,174,515,164,495,168,483,164.0,477.0,154.0,423.0,0.0,0.0,0.0,0.0,1242.0,3630.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,660.0,225.8181818181818
Bumperazo,10,112,9,249,9,249,9,248,9,245,8,208,8.0,224.0,9.0,195.0,0.0,0.0,0.0,0.0,71.0,1730.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,314.54545454545456,12.909090909090908
Brincanguro,6,121,8,184,8,187,8,187,8,186,8,184,9.0,212.0,9.0,211.0,0.0,0.0,0.0,0.0,64.0,1472.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,267.6363636363636,11.636363636363637
Moto Bala,25,300,25,300,25,300,25,297,25,299,16,192,25.0,300.0,25.0,300.0,0.0,0.0,0.0,0.0,191.0,2288.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,416.0,34.72727272727273
Convoy,12,61,13,156,14,185,14,187,14,128,10,108,5.0,57.0,13.0,99.0,0.0,0.0,0.0,0.0,95.0,981.0,2023-05-12,False,Ninguno,26.0,16.0,Moderate or heavy rain shower,0,178.36363636363637,17.272727272727273
