juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,49,6,107,6,108,6,100,4,64,0,0,2.0,31.0,6.0,102.0,6.0,93.0,0.0,0.0,41.0,654.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,118.9090909090909,7.454545454545454
Samba Balloon,6,61,7,127,7,116,7,127,6,120,0,0,2.0,31.0,7.0,114.0,7.0,116.0,0.0,0.0,49.0,812.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,147.63636363636363,8.909090909090908
Loco Bus,9,80,10,169,11,187,11,169,11,144,0,0,9.0,133.0,10.0,165.0,10.0,167.0,0.0,0.0,81.0,1214.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,220.72727272727272,14.727272727272727
Dragon,15,277,17,317,17,319,17,333,14,277,0,0,0.0,0.0,17.0,329.0,17.0,328.0,0.0,0.0,114.0,2180.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,396.3636363636364,20.727272727272727
Comanche,2,33,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,6.0,0.36363636363636365
Ratón Loroco,61,211,77,290,82,305,83,307,87,135,0,0,55.0,174.0,82.0,299.0,82.0,293.0,0.0,0.0,609.0,2014.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,366.1818181818182,110.72727272727273
Remolino,46,239,62,359,62,356,62,351,52,306,56,319,62.0,358.0,62.0,350.0,48.0,255.0,0.0,0.0,512.0,2893.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,526.0,93.0909090909091
Rascacielos,10,162,10,178,12,212,12,213,12,214,0,0,0.0,0.0,12.0,214.0,10.0,180.0,0.0,0.0,78.0,1373.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,249.63636363636363,14.181818181818182
Tronco Splash,72,211,139,397,159,435,180,374,180,528,180,513,180.0,461.0,180.0,500.0,180.0,513.0,0.0,0.0,1450.0,3932.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,714.9090909090909,263.6363636363636
Bumperazo,8,115,9,233,8,215,8,208,7,189,7,189,7.0,187.0,7.0,188.0,8.0,206.0,0.0,0.0,69.0,1730.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,314.54545454545456,12.545454545454545
Brincanguro,6,121,8,188,7,167,6,143,6,140,0,0,6.0,142.0,7.0,165.0,7.0,162.0,0.0,0.0,53.0,1228.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,223.27272727272728,9.636363636363637
Moto Bala,9,108,17,204,20,240,20,237,17,204,0,0,18.0,216.0,20.0,240.0,20.0,240.0,0.0,0.0,141.0,1689.0,2023-07-23,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,307.09090909090907,25.636363636363637
