juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,100,6,119,6,120,6,120,6,118,6,113,6.0,116.0,6.0,111.0,0.0,0.0,0.0,0.0,48.0,917.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,166.72727272727272,8.727272727272727
Samba Balloon,7,99,8,199,10,201,10,188,10,181,10,199,10.0,201.0,9.0,146.0,0.0,0.0,0.0,0.0,74.0,1414.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,257.09090909090907,13.454545454545455
Loco Bus,9,77,9,168,9,182,9,145,9,164,9,173,9.0,189.0,9.0,148.0,0.0,0.0,0.0,0.0,72.0,1246.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,226.54545454545453,13.090909090909092
Dragon,14,263,14,278,14,278,2,39,12,238,14,277,14.0,274.0,14.0,277.0,0.0,0.0,0.0,0.0,98.0,1924.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,349.8181818181818,17.818181818181817
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,0.0,0.0
Ratón Loroco,51,194,84,314,86,318,89,318,80,292,82,323,87.0,323.0,89.0,311.0,0.0,0.0,0.0,0.0,648.0,2393.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,435.09090909090907,117.81818181818181
Remolino,55,304,72,430,66,387,58,344,55,313,60,356,56.0,316.0,56.0,328.0,0.0,0.0,0.0,0.0,478.0,2778.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,505.09090909090907,86.9090909090909
Rascacielos,10,180,10,180,10,180,10,180,10,180,10,180,10.0,180.0,10.0,180.0,0.0,0.0,0.0,0.0,80.0,1440.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,261.8181818181818,14.545454545454545
Tronco Splash,164,625,180,701,180,626,180,614,180,572,180,556,180.0,595.0,180.0,623.0,0.0,0.0,0.0,0.0,1424.0,4912.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,893.0909090909091,258.90909090909093
Bumperazo,7,98,7,189,7,185,7,204,8,227,7,182,8.0,230.0,9.0,238.0,0.0,0.0,0.0,0.0,60.0,1553.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,282.3636363636364,10.909090909090908
Brincanguro,8,164,8,188,9,215,9,208,8,187,8,187,9.0,211.0,9.0,214.0,0.0,0.0,0.0,0.0,68.0,1574.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,286.1818181818182,12.363636363636363
Moto Bala,20,232,14,166,18,214,17,202,18,216,17,201,20.0,235.0,18.0,212.0,0.0,0.0,0.0,0.0,142.0,1678.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,305.09090909090907,25.818181818181817
Convoy,10,102,13,188,14,181,14,100,15,131,15,179,16.0,197.0,16.0,90.0,0.0,0.0,0.0,0.0,113.0,1168.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,212.36363636363637,20.545454545454547
Bumpercitos,10,143,10,159,10,145,10,147,10,145,10,144,10.0,143.0,10.0,124.0,0.0,0.0,0.0,0.0,80.0,1150.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,209.0909090909091,14.545454545454545
Bici Magica,11,116,11,128,11,123,11,119,11,117,11,125,11.0,124.0,11.0,107.0,0.0,0.0,0.0,0.0,88.0,959.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,174.36363636363637,16.0
Polo Norte,12,120,12,120,12,111,12,93,12,88,12,98,12.0,108.0,12.0,77.0,0.0,0.0,0.0,0.0,96.0,815.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,148.1818181818182,17.454545454545453
Sol De Mi Barrio,6,69,4,180,3,231,3,286,3,296,3,305,3.0,299.0,6.0,149.0,0.0,0.0,0.0,0.0,31.0,1815.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,330.0,5.636363636363637
Tifón,10,157,9,140,9,144,9,142,9,142,10,160,9.0,144.0,8.0,128.0,0.0,0.0,0.0,0.0,73.0,1157.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,210.36363636363637,13.272727272727273
Carrusel,14,249,10,410,11,266,11,246,10,206,11,314,11.0,359.0,11.0,197.0,0.0,0.0,0.0,0.0,89.0,2247.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,408.54545454545456,16.181818181818183
Trencito,6,153,8,278,8,270,8,280,8,271,8,281,8.0,252.0,8.0,264.0,0.0,0.0,0.0,0.0,62.0,2049.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,372.54545454545456,11.272727272727273
El Revoloteo,10,240,10,236,10,240,10,237,10,240,10,240,10.0,237.0,10.0,240.0,0.0,0.0,0.0,0.0,80.0,1910.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,347.27272727272725,14.545454545454545
Guerra Pirata,7,158,9,204,9,205,9,206,9,200,9,205,9.0,205.0,9.0,207.0,0.0,0.0,0.0,0.0,70.0,1590.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,289.09090909090907,12.727272727272727
Faro Saltarín,9,103,12,162,12,153,12,141,12,134,12,174,12.0,147.0,12.0,142.0,0.0,0.0,0.0,0.0,93.0,1156.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,210.1818181818182,16.90909090909091
El Relámpago,19,141,30,225,30,225,30,225,27,201,32,240,29.0,219.0,30.0,225.0,0.0,0.0,0.0,0.0,227.0,1701.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,309.27272727272725,41.27272727272727
Casichoco,6,184,5,175,6,142,6,100,4,94,6,161,7.0,131.0,4.0,46.0,0.0,0.0,0.0,0.0,44.0,1033.0,2023-05-25,False,Ninguno,27.0,16.0,Heavy rain at times,0,187.8181818181818,8.0
