juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,9,46,6,93,6,100,6,101,6,105,5,87,6.0,102.0,6.0,107.0,0.0,0.0,0.0,0.0,50.0,741.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,134.72727272727272,9.090909090909092
Samba Balloon,6,51,9,115,9,141,9,141,8,137,8,133,9.0,146.0,9.0,108.0,0.0,0.0,0.0,0.0,67.0,972.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,176.72727272727272,12.181818181818182
Loco Bus,7,50,10,139,10,185,12,250,12,244,12,250,12.0,252.0,12.0,241.0,0.0,0.0,0.0,0.0,87.0,1611.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,292.90909090909093,15.818181818181818
Dragon,4,55,0,0,0,0,0,0,0,0,8,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,200.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,36.36363636363637,2.1818181818181817
Comanche,6,115,8,189,9,212,8,185,8,191,9,211,9.0,214.0,9.0,211.0,0.0,0.0,0.0,0.0,66.0,1528.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,277.8181818181818,12.0
Ratón Loroco,46,167,80,303,82,308,79,298,82,307,82,301,83.0,310.0,79.0,264.0,0.0,0.0,0.0,0.0,613.0,2258.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,410.54545454545456,111.45454545454545
Remolino,33,147,62,345,56,327,57,325,50,280,56,312,56.0,320.0,56.0,309.0,0.0,0.0,0.0,0.0,426.0,2365.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,430.0,77.45454545454545
Rascacielos,7,99,10,177,10,179,10,177,10,179,10,178,10.0,179.0,10.0,177.0,0.0,0.0,0.0,0.0,77.0,1345.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,244.54545454545453,14.0
Tronco Splash,12,26,118,319,115,296,113,313,144,394,121,325,128.0,353.0,124.0,319.0,0.0,0.0,0.0,0.0,875.0,2345.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,426.3636363636364,159.0909090909091
Bumperazo,6,42,8,197,8,235,7,193,8,219,7,209,8.0,237.0,8.0,234.0,0.0,0.0,0.0,0.0,60.0,1566.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,284.72727272727275,10.909090909090908
Brincanguro,0,0,0,0,0,0,0,0,2,47,7,162,7.0,166.0,8.0,188.0,0.0,0.0,0.0,0.0,24.0,563.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,102.36363636363636,4.363636363636363
Moto Bala,13,143,19,226,22,260,22,261,22,264,14,168,22.0,260.0,22.0,254.0,0.0,0.0,0.0,0.0,156.0,1836.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,333.8181818181818,28.363636363636363
Convoy,9,56,16,86,15,147,13,136,13,121,14,142,13.0,159.0,15.0,176.0,0.0,0.0,0.0,0.0,108.0,1023.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,186.0,19.636363636363637
Bumpercitos,8,56,11,126,11,150,10,115,10,137,8,93,8.0,112.0,9.0,121.0,0.0,0.0,0.0,0.0,75.0,910.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,165.45454545454547,13.636363636363637
Bici Magica,7,46,10,104,12,138,11,120,12,126,12,128,12.0,126.0,13.0,134.0,0.0,0.0,0.0,0.0,89.0,922.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,167.63636363636363,16.181818181818183
Polo Norte,10,34,11,70,12,86,12,84,11,71,12,69,12.0,74.0,12.0,88.0,0.0,0.0,0.0,0.0,92.0,576.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,104.72727272727273,16.727272727272727
Sol De Mi Barrio,4,18,5,141,3,191,3,201,3,202,3,186,3.0,205.0,3.0,167.0,0.0,0.0,0.0,0.0,27.0,1311.0,2023-09-30,False,Ninguno,24.0,16.0,Moderate or heavy rain shower,0,238.36363636363637,4.909090909090909
