juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,65,6,97,6,109,6,98,6,115,6,107,6.0,90.0,6.0,98.0,6.0,90.0,0.0,0.0,54.0,869.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,158.0,9.818181818181818
Samba Balloon,5,29,10,128,9,119,9,137,10,101,10,108,9.0,114.0,10.0,139.0,9.0,73.0,0.0,0.0,81.0,948.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,172.36363636363637,14.727272727272727
Loco Bus,5,25,10,146,10,149,10,123,10,129,10,139,10.0,157.0,10.0,146.0,10.0,78.0,0.0,0.0,85.0,1092.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,198.54545454545453,15.454545454545455
Dragon,14,262,15,283,15,272,14,259,14,261,14,276,14.0,265.0,14.0,262.0,15.0,279.0,0.0,0.0,129.0,2419.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,439.8181818181818,23.454545454545453
Comanche,9,135,10,171,10,176,10,180,10,174,10,178,12.0,214.0,7.0,120.0,11.0,191.0,0.0,0.0,89.0,1539.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,279.8181818181818,16.181818181818183
Ratón Loroco,44,121,83,274,96,299,100,307,101,319,100,335,102.0,348.0,104.0,349.0,104.0,352.0,0.0,0.0,834.0,2704.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,491.6363636363636,151.63636363636363
Remolino,43,187,72,400,72,393,72,395,72,400,72,413,72.0,407.0,72.0,398.0,72.0,368.0,0.0,0.0,619.0,3361.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,611.0909090909091,112.54545454545455
Rascacielos,6,93,9,149,9,159,10,177,10,180,10,178,9.0,160.0,9.0,162.0,6.0,99.0,0.0,0.0,78.0,1357.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,246.72727272727272,14.181818181818182
Tronco Splash,0,0,25,70,144,384,144,392,144,392,67,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,1411.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,256.54545454545456,95.27272727272727
Bumperazo,8,76,11,241,9,239,8,218,7,185,9,242,9.0,250.0,8.0,224.0,8.0,191.0,0.0,0.0,77.0,1866.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,339.27272727272725,14.0
Brincanguro,0,0,4,94,8,185,8,188,8,192,7,165,8.0,190.0,8.0,190.0,8.0,187.0,0.0,0.0,59.0,1391.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,252.9090909090909,10.727272727272727
Moto Bala,16,191,18,216,18,216,18,210,18,216,18,213,18.0,214.0,18.0,215.0,18.0,216.0,0.0,0.0,160.0,1907.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,346.72727272727275,29.09090909090909
Convoy,9,28,14,77,11,78,12,93,12,79,11,97,13.0,119.0,12.0,132.0,11.0,86.0,0.0,0.0,105.0,789.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,143.45454545454547,19.09090909090909
Bumpercitos,8,32,8,66,11,101,10,136,9,99,10,142,9.0,121.0,10.0,129.0,10.0,138.0,0.0,0.0,85.0,964.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,175.27272727272728,15.454545454545455
Bici Magica,8,56,10,78,12,112,10,108,11,102,10,105,11.0,120.0,11.0,122.0,12.0,126.0,0.0,0.0,95.0,929.0,2023-04-01,False,Ninguno,31.0,13.0,Partly cloudy,0,168.9090909090909,17.272727272727273
