juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,37,6,89,6,115,6,108,6,105,6,90,6.0,90.0,6.0,90.0,6.0,88.0,0.0,0.0,53.0,812.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,147.63636363636363,9.636363636363637
Samba Balloon,8,50,10,103,10,135,10,128,10,144,9,130,10.0,127.0,10.0,127.0,10.0,84.0,0.0,0.0,87.0,1028.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,186.9090909090909,15.818181818181818
Loco Bus,5,42,10,135,10,172,10,152,10,139,10,148,10.0,140.0,10.0,162.0,10.0,93.0,0.0,0.0,85.0,1183.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,215.0909090909091,15.454545454545455
Dragon,11,182,17,330,19,344,18,341,18,336,18,329,18.0,327.0,16.0,297.0,17.0,319.0,0.0,0.0,152.0,2805.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,510.0,27.636363636363637
Comanche,11,157,10,233,10,233,10,234,10,237,11,256,11.0,260.0,10.0,237.0,11.0,260.0,0.0,0.0,94.0,2107.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,383.09090909090907,17.09090909090909
Ratón Loroco,64,197,88,255,86,302,87,278,88,298,94,300,91.0,289.0,97.0,302.0,95.0,288.0,0.0,0.0,790.0,2509.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,456.1818181818182,143.63636363636363
Remolino,36,159,72,400,72,398,72,413,72,397,72,414,72.0,401.0,72.0,402.0,61.0,301.0,0.0,0.0,601.0,3285.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,597.2727272727273,109.27272727272727
Rascacielos,8,126,10,175,10,180,10,180,10,180,10,179,10.0,180.0,10.0,180.0,10.0,180.0,0.0,0.0,88.0,1560.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,283.6363636363636,16.0
Tronco Splash,92,239,144,395,164,432,164,431,174,448,164,433,154.0,401.0,174.0,458.0,108.0,266.0,0.0,0.0,1338.0,3503.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,636.9090909090909,243.27272727272728
Bumperazo,9,64,8,170,9,243,8,230,6,167,7,185,8.0,219.0,7.0,187.0,9.0,248.0,0.0,0.0,71.0,1713.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,311.45454545454544,12.909090909090908
Brincanguro,7,147,8,186,8,185,8,188,7,166,8,192,8.0,188.0,9.0,212.0,8.0,187.0,0.0,0.0,71.0,1651.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,300.1818181818182,12.909090909090908
Moto Bala,16,193,24,288,5,60,14,158,24,278,24,284,26.0,312.0,25.0,300.0,26.0,312.0,0.0,0.0,184.0,2185.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,397.27272727272725,33.45454545454545
Convoy,7,22,9,29,13,116,12,99,11,90,10,86,11.0,118.0,11.0,129.0,11.0,116.0,0.0,0.0,95.0,805.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,146.36363636363637,17.272727272727273
Bumpercitos,10,30,10,73,10,110,8,96,9,77,9,87,8.0,104.0,9.0,123.0,9.0,112.0,0.0,0.0,82.0,812.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,147.63636363636363,14.909090909090908
Bici Magica,12,57,12,106,12,115,12,132,12,118,12,111,11.0,118.0,11.0,105.0,10.0,95.0,0.0,0.0,104.0,957.0,2023-04-09,False,Ninguno,29.0,13.0,Sunny,0,174.0,18.90909090909091
