juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,70,6,107,6,101,6,106,6,103,6,106,6.0,104.0,6.0,103.0,0.0,0.0,0.0,0.0,48.0,800.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,145.45454545454547,8.727272727272727
Samba Balloon,5,60,8,101,9,136,8,117,8,125,8,133,8.0,134.0,9.0,151.0,0.0,0.0,0.0,0.0,63.0,957.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,174.0,11.454545454545455
Loco Bus,8,111,11,195,12,189,12,203,11,175,13,232,13.0,247.0,12.0,221.0,0.0,0.0,0.0,0.0,92.0,1573.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,286.0,16.727272727272727
Dragon,10,193,17,332,17,340,17,339,17,327,17,334,17.0,340.0,17.0,339.0,0.0,0.0,0.0,0.0,129.0,2544.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,462.54545454545456,23.454545454545453
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,0.0,0.0
Ratón Loroco,72,251,82,322,82,292,82,304,87,330,82,314,82.0,304.0,82.0,320.0,0.0,0.0,0.0,0.0,651.0,2437.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,443.09090909090907,118.36363636363636
Remolino,21,105,62,346,64,349,64,336,69,376,66,370,66.0,382.0,66.0,358.0,0.0,0.0,0.0,0.0,478.0,2622.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,476.72727272727275,86.9090909090909
Rascacielos,5,78,10,175,9,153,8,135,9,153,9,151,9.0,153.0,9.0,153.0,0.0,0.0,0.0,0.0,68.0,1151.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,209.27272727272728,12.363636363636363
Tronco Splash,72,186,123,341,72,209,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,736.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,133.8181818181818,48.54545454545455
Bumperazo,3,35,7,176,7,177,8,208,7,177,8,189,8.0,211.0,8.0,206.0,0.0,0.0,0.0,0.0,56.0,1379.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,250.72727272727272,10.181818181818182
Brincanguro,4,67,7,165,7,164,7,163,8,190,7,167,7.0,165.0,8.0,189.0,0.0,0.0,0.0,0.0,55.0,1270.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,230.9090909090909,10.0
Moto Bala,14,164,17,203,17,202,17,201,17,202,17,203,17.0,200.0,16.0,177.0,0.0,0.0,0.0,0.0,132.0,1552.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,282.1818181818182,24.0
Convoy,7,29,15,102,12,75,13,99,12,82,11,82,13.0,95.0,11.0,109.0,0.0,0.0,0.0,0.0,94.0,673.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,122.36363636363636,17.09090909090909
Bumpercitos,5,96,9,96,8,85,8,99,9,117,9,114,8.0,101.0,9.0,115.0,0.0,0.0,0.0,0.0,65.0,823.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,149.63636363636363,11.818181818181818
Bici Magica,12,68,10,101,10,102,11,114,10,109,12,129,10.0,113.0,12.0,141.0,0.0,0.0,0.0,0.0,87.0,877.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,159.45454545454547,15.818181818181818
Polo Norte,10,43,9,62,9,69,9,62,11,73,7,55,11.0,85.0,9.0,65.0,0.0,0.0,0.0,0.0,75.0,514.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,93.45454545454545,13.636363636363637
Sol De Mi Barrio,6,63,7,107,4,301,4,331,4,307,4,306,4.0,298.0,7.0,290.0,0.0,0.0,0.0,0.0,40.0,2003.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,364.1818181818182,7.2727272727272725
Tifón,9,143,9,142,9,142,9,141,9,140,9,142,9.0,141.0,11.0,173.0,0.0,0.0,0.0,0.0,74.0,1164.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,211.63636363636363,13.454545454545455
Carrusel,11,79,11,167,10,136,10,221,12,181,10,239,10.0,282.0,10.0,394.0,0.0,0.0,0.0,0.0,84.0,1699.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,308.90909090909093,15.272727272727273
Trencito,5,105,7,229,7,248,7,263,7,267,7,260,7.0,246.0,7.0,271.0,0.0,0.0,0.0,0.0,54.0,1889.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,343.45454545454544,9.818181818181818
El Revoloteo,5,95,8,180,10,230,10,226,10,229,10,223,10.0,227.0,10.0,233.0,0.0,0.0,0.0,0.0,73.0,1643.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,298.72727272727275,13.272727272727273
Guerra Pirata,5,12,8,92,8,149,8,138,8,153,8,155,8.0,147.0,8.0,158.0,0.0,0.0,0.0,0.0,61.0,1004.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,182.54545454545453,11.090909090909092
Faro Saltarín,8,57,10,116,10,114,10,109,10,115,10,109,10.0,101.0,10.0,113.0,0.0,0.0,0.0,0.0,78.0,834.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,151.63636363636363,14.181818181818182
El Relámpago,17,149,34,292,20,173,8,69,33,295,35,314,26.0,230.0,34.0,299.0,0.0,0.0,0.0,0.0,207.0,1821.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,331.09090909090907,37.63636363636363
Casichoco,4,25,7,101,7,122,7,156,5,107,7,115,6.0,125.0,6.0,183.0,0.0,0.0,0.0,0.0,49.0,934.0,2024-01-06,False,Ninguno,26.0,13.0,Sunny,0,169.8181818181818,8.909090909090908
