juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,35,6,100,6,105,6,63,6,103,6,94,6.0,78.0,6.0,57.0,0.0,0.0,0.0,0.0,46.0,635.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,115.45454545454545,8.363636363636363
Samba Balloon,7,100,9,126,9,143,8,76,8,58,8,96,7.0,44.0,7.0,24.0,0.0,0.0,0.0,0.0,63.0,667.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,121.27272727272727,11.454545454545455
Loco Bus,8,106,13,205,13,207,9,76,13,91,12,138,12.0,82.0,6.0,34.0,0.0,0.0,0.0,0.0,86.0,939.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,170.72727272727272,15.636363636363637
Dragon,17,293,17,326,17,311,17,282,17,317,17,327,15.0,267.0,7.0,49.0,0.0,0.0,0.0,0.0,124.0,2172.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,394.90909090909093,22.545454545454547
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,0.0,0.0
Ratón Loroco,72,243,72,263,72,270,72,241,72,282,72,247,72.0,265.0,72.0,260.0,0.0,0.0,0.0,0.0,576.0,2071.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,376.54545454545456,104.72727272727273
Remolino,20,105,31,316,66,369,66,368,66,362,66,377,66.0,341.0,66.0,286.0,0.0,0.0,0.0,0.0,447.0,2524.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,458.90909090909093,81.27272727272727
Rascacielos,12,215,9,176,11,198,11,198,11,197,11,196,11.0,197.0,10.0,161.0,0.0,0.0,0.0,0.0,86.0,1538.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,279.6363636363636,15.636363636363637
Tronco Splash,108,364,108,345,108,338,108,310,108,314,106,315,108.0,326.0,63.0,178.0,0.0,0.0,0.0,0.0,817.0,2490.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,452.72727272727275,148.54545454545453
Bumperazo,6,133,7,163,6,157,7,176,7,151,6,135,6.0,102.0,7.0,119.0,0.0,0.0,0.0,0.0,52.0,1136.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,206.54545454545453,9.454545454545455
Brincanguro,8,174,9,214,8,187,8,173,8,178,8,184,8.0,175.0,8.0,107.0,0.0,0.0,0.0,0.0,65.0,1392.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,253.0909090909091,11.818181818181818
Moto Bala,15,179,17,200,17,201,17,202,17,203,17,202,17.0,202.0,17.0,203.0,0.0,0.0,0.0,0.0,134.0,1592.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,289.45454545454544,24.363636363636363
Convoy,9,136,10,89,9,34,10,23,9,48,10,28,8.0,62.0,9.0,21.0,0.0,0.0,0.0,0.0,74.0,441.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,80.18181818181819,13.454545454545455
Bumpercitos,6,94,7,113,6,71,8,93,8,69,9,57,7.0,96.0,8.0,19.0,0.0,0.0,0.0,0.0,59.0,612.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,111.27272727272727,10.727272727272727
Bici Magica,12,143,10,107,12,86,12,89,12,69,11,70,9.0,65.0,6.0,27.0,0.0,0.0,0.0,0.0,84.0,656.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,119.27272727272727,15.272727272727273
Polo Norte,10,118,9,104,11,73,9,42,10,30,10,48,11.0,84.0,9.0,16.0,0.0,0.0,0.0,0.0,79.0,515.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,93.63636363636364,14.363636363636363
Sol De Mi Barrio,2,15,8,83,8,106,8,95,7,92,7,83,5.0,129.0,7.0,71.0,0.0,0.0,0.0,0.0,52.0,674.0,2024-03-14,False,Ninguno,29.0,16.0,Patchy rain possible,0,122.54545454545455,9.454545454545455
