juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,3,9,6,29,6,48,6,56,6,34,6,33,6.0,62.0,6.0,52.0,0.0,0.0,0.0,0.0,45.0,323.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,58.72727272727273,8.181818181818182
Samba Balloon,0,0,4,15,8,33,8,41,8,48,8,46,8.0,59.0,7.0,43.0,0.0,0.0,0.0,0.0,51.0,285.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,51.81818181818182,9.272727272727273
Loco Bus,0,0,5,21,9,59,7,33,6,23,9,39,9.0,42.0,7.0,31.0,0.0,0.0,0.0,0.0,52.0,248.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,45.09090909090909,9.454545454545455
Dragon,5,17,12,112,10,83,12,132,13,121,15,111,13.0,77.0,15.0,152.0,0.0,0.0,0.0,0.0,95.0,805.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,146.36363636363637,17.272727272727273
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,0.0,0.0
Ratón Loroco,10,30,46,140,46,122,62,171,66,225,53,177,72.0,219.0,46.0,181.0,0.0,0.0,0.0,0.0,401.0,1265.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,230.0,72.9090909090909
Remolino,7,23,23,89,50,190,51,200,50,232,49,188,46.0,187.0,44.0,176.0,0.0,0.0,0.0,0.0,320.0,1285.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,233.63636363636363,58.18181818181818
Rascacielos,3,13,6,36,8,77,7,51,7,95,6,64,8.0,51.0,9.0,64.0,0.0,0.0,0.0,0.0,54.0,451.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,82.0,9.818181818181818
Tronco Splash,9,25,29,79,40,102,68,162,52,109,58,132,56.0,130.0,36.0,90.0,0.0,0.0,0.0,0.0,348.0,829.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,150.72727272727272,63.27272727272727
Bumperazo,2,11,4,61,5,96,7,164,7,146,7,156,7.0,159.0,8.0,89.0,0.0,0.0,0.0,0.0,47.0,882.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,160.36363636363637,8.545454545454545
Brincanguro,5,29,6,82,6,124,7,112,4,39,7,148,4.0,87.0,3.0,37.0,0.0,0.0,0.0,0.0,42.0,658.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,119.63636363636364,7.636363636363637
Moto Bala,5,42,11,120,13,123,15,171,14,137,15,175,16.0,184.0,15.0,165.0,0.0,0.0,0.0,0.0,104.0,1117.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,203.0909090909091,18.90909090909091
Convoy,3,10,9,26,12,38,12,47,16,48,13,50,11.0,25.0,11.0,31.0,0.0,0.0,0.0,0.0,87.0,275.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,50.0,15.818181818181818
Bumpercitos,3,9,6,20,7,34,8,39,7,41,8,50,8.0,69.0,8.0,62.0,0.0,0.0,0.0,0.0,55.0,324.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,58.90909090909091,10.0
Bici Magica,1,3,4,18,11,38,6,36,6,41,10,34,9.0,49.0,9.0,47.0,0.0,0.0,0.0,0.0,56.0,266.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,48.36363636363637,10.181818181818182
Polo Norte,3,5,8,21,10,23,9,29,11,30,10,39,13.0,44.0,9.0,26.0,0.0,0.0,0.0,0.0,73.0,217.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,39.45454545454545,13.272727272727273
Sol De Mi Barrio,0,0,2,8,5,31,6,64,7,68,7,76,7.0,62.0,7.0,92.0,0.0,0.0,0.0,0.0,41.0,401.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,72.9090909090909,7.454545454545454
Tifón,2,22,6,54,8,79,9,98,7,62,8,101,8.0,72.0,9.0,115.0,0.0,0.0,0.0,0.0,57.0,603.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,109.63636363636364,10.363636363636363
Carrusel,2,7,8,54,13,96,11,79,12,55,11,71,12.0,91.0,14.0,108.0,0.0,0.0,0.0,0.0,83.0,561.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,102.0,15.090909090909092
Trencito,1,5,5,43,5,61,7,139,7,123,8,98,8.0,117.0,7.0,146.0,0.0,0.0,0.0,0.0,48.0,732.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,133.0909090909091,8.727272727272727
El Revoloteo,3,15,7,98,8,101,8,123,8,125,8,143,8.0,130.0,8.0,122.0,0.0,0.0,0.0,0.0,58.0,857.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,155.8181818181818,10.545454545454545
Guerra Pirata,1,2,6,28,5,22,3,11,6,101,8,81,7.0,79.0,7.0,41.0,0.0,0.0,0.0,0.0,43.0,365.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,66.36363636363636,7.818181818181818
Faro Saltarín,5,21,9,76,8,72,9,71,9,89,9,77,9.0,62.0,9.0,50.0,0.0,0.0,0.0,0.0,67.0,518.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,94.18181818181819,12.181818181818182
El Relámpago,2,5,10,59,14,105,16,139,9,68,16,133,13.0,93.0,15.0,105.0,0.0,0.0,0.0,0.0,95.0,707.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,128.54545454545453,17.272727272727273
Casichoco,0,0,5,21,6,23,8,33,6,35,8,61,3.0,15.0,7.0,23.0,0.0,0.0,0.0,0.0,43.0,211.0,2024-02-02,False,Ninguno,25.0,12.0,Overcast,0,38.36363636363637,7.818181818181818
