juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,35,6,99,6,93,6,68,6,114,6,52,6.0,50.0,6.0,55.0,0.0,0.0,0.0,0.0,48.0,566.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,102.9090909090909,8.727272727272727
Samba Balloon,2,4,7,107,8,47,9,51,8,77,6,52,8.0,41.0,8.0,36.0,0.0,0.0,0.0,0.0,56.0,415.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,75.45454545454545,10.181818181818182
Loco Bus,2,2,8,101,10,110,10,81,10,141,10,90,11.0,59.0,10.0,63.0,0.0,0.0,0.0,0.0,71.0,647.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,117.63636363636364,12.909090909090908
Dragon,10,180,15,300,18,340,18,336,18,275,18,308,13.0,120.0,10.0,61.0,0.0,0.0,0.0,0.0,120.0,1920.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,349.09090909090907,21.818181818181817
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,0.0,0.0
Ratón Loroco,22,72,82,283,82,282,82,297,80,229,81,238,80.0,279.0,72.0,225.0,0.0,0.0,0.0,0.0,581.0,1905.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,346.3636363636364,105.63636363636364
Remolino,28,133,57,287,56,304,62,322,59,300,58,306,42.0,196.0,46.0,203.0,0.0,0.0,0.0,0.0,408.0,2051.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,372.90909090909093,74.18181818181819
Rascacielos,6,106,9,162,9,157,9,161,10,153,8,121,5.0,55.0,5.0,41.0,0.0,0.0,0.0,0.0,61.0,956.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,173.8181818181818,11.090909090909092
Tronco Splash,72,208,100,338,108,339,108,301,108,300,106,318,69.0,177.0,36.0,92.0,0.0,0.0,0.0,0.0,707.0,2073.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,376.90909090909093,128.54545454545453
Bumperazo,4,26,5,113,8,190,8,192,7,176,7,170,7.0,134.0,6.0,127.0,0.0,0.0,0.0,0.0,52.0,1128.0,2024-02-08,False,Ninguno,26.0,9.0,Sunny,0,205.0909090909091,9.454545454545455
