juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,70,6,91,6,93,6,100,6,91,6,92,6.0,94.0,6.0,87.0,0.0,0.0,0.0,0.0,48.0,718.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,130.54545454545453,8.727272727272727
Samba Balloon,9,51,9,107,8,123,11,166,8,111,9,131,8.0,120.0,9.0,135.0,0.0,0.0,0.0,0.0,71.0,944.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,171.63636363636363,12.909090909090908
Loco Bus,6,69,10,105,7,124,10,179,10,199,7,128,9.0,159.0,10.0,171.0,0.0,0.0,0.0,0.0,69.0,1134.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,206.1818181818182,12.545454545454545
Dragon,13,237,16,318,16,320,16,320,16,320,16,320,16.0,320.0,16.0,320.0,5.0,50.0,11.0,114.0,141.0,2639.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,479.8181818181818,25.636363636363637
Comanche,5,99,11,286,12,286,11,264,12,286,10,236,11.0,260.0,12.0,280.0,6.0,52.0,1.0,20.0,91.0,2069.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,376.1818181818182,16.545454545454547
Ratón Loroco,30,94,82,302,82,297,82,291,82,303,82,284,82.0,283.0,82.0,287.0,36.0,118.0,20.0,60.0,660.0,2319.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,421.6363636363636,120.0
Remolino,30,129,56,320,60,333,59,323,56,318,56,312,59.0,354.0,51.0,273.0,2.0,6.0,5.0,23.0,434.0,2391.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,434.72727272727275,78.9090909090909
Rascacielos,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,72.0,5.0,30.0,6.0,33.0,15.0,135.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,24.545454545454547,2.727272727272727
Tronco Splash,72,203,108,292,0,0,102,352,108,338,108,360,144.0,404.0,138.0,410.0,0.0,0.0,1.0,1.0,781.0,2360.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,429.09090909090907,142.0
Bumperazo,5,53,8,187,8,194,9,225,9,229,9,220,9.0,225.0,9.0,215.0,9.0,180.0,7.0,94.0,82.0,1822.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,331.27272727272725,14.909090909090908
Brincanguro,8,169,8,190,8,189,8,188,8,191,8,192,8.0,188.0,8.0,190.0,6.0,33.0,5.0,30.0,75.0,1560.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,283.6363636363636,13.636363636363637
Moto Bala,20,235,27,318,30,356,30,353,30,351,29,345,30.0,354.0,29.0,339.0,0.0,0.0,0.0,0.0,225.0,2651.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,482.0,40.90909090909091
Convoy,7,35,15,88,15,64,15,92,15,112,15,93,15.0,111.0,14.0,109.0,0.0,0.0,0.0,0.0,111.0,704.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,128.0,20.181818181818183
Bumpercitos,6,47,8,97,7,98,7,103,8,113,8,92,8.0,114.0,8.0,114.0,0.0,0.0,0.0,0.0,60.0,778.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,141.45454545454547,10.909090909090908
Bici Magica,10,73,12,125,11,122,12,134,12,135,12,120,12.0,131.0,11.0,113.0,0.0,0.0,0.0,0.0,92.0,953.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,173.27272727272728,16.727272727272727
Polo Norte,7,45,10,70,10,76,10,74,10,68,10,67,10.0,66.0,10.0,69.0,0.0,0.0,0.0,0.0,77.0,535.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,97.27272727272727,14.0
Sol De Mi Barrio,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,73.0,1.0,3.0,7.0,46.0,13.0,122.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,22.181818181818183,2.3636363636363638
Tifón,4,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,64.0,4.0,38.0,5.0,27.0,17.0,190.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,34.54545454545455,3.090909090909091
Carrusel,12,59,10,136,11,153,10,202,12,197,12,112,7.0,147.0,9.0,234.0,0.0,0.0,0.0,0.0,83.0,1240.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,225.45454545454547,15.090909090909092
Trencito,6,86,5,156,7,194,5,143,0,0,7,211,7.0,210.0,7.0,207.0,0.0,0.0,3.0,23.0,47.0,1230.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,223.63636363636363,8.545454545454545
El Revoloteo,4,32,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,143.0,4.0,29.0,6.0,58.0,21.0,262.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,47.63636363636363,3.8181818181818183
Guerra Pirata,3,28,9,140,9,166,9,182,10,207,9,183,10.0,191.0,9.0,185.0,0.0,0.0,0.0,0.0,68.0,1282.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,233.0909090909091,12.363636363636363
Faro Saltarín,7,51,11,125,8,98,9,113,9,105,10,119,8.0,98.0,10.0,112.0,1.0,4.0,1.0,5.0,74.0,830.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,150.9090909090909,13.454545454545455
El Relámpago,20,165,34,300,34,306,32,286,22,198,29,261,30.0,266.0,30.0,268.0,20.0,173.0,15.0,87.0,266.0,2310.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,420.0,48.36363636363637
Casichoco,3,47,8,85,8,136,9,137,11,112,10,85,6.0,100.0,6.0,97.0,0.0,0.0,0.0,0.0,61.0,799.0,2024-12-19,False,Ninguno,22.0,14.0,Patchy rain possible,0,145.27272727272728,11.090909090909092
