juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,55,6,76,6,75,6,82,6,91,6,79,6.0,85.0,6.0,99.0,6.0,80.0,0.0,0.0,53.0,722.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,131.27272727272728,9.636363636363637
Samba Balloon,7,62,8,102,8,110,9,156,8,124,8,118,8.0,123.0,8.0,103.0,8.0,115.0,0.0,0.0,72.0,1013.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,184.1818181818182,13.090909090909092
Loco Bus,6,51,11,173,11,197,10,137,10,158,11,182,10.0,134.0,10.0,134.0,10.0,134.0,0.0,0.0,89.0,1300.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,236.36363636363637,16.181818181818183
Dragon,12,199,17,319,17,319,17,328,17,321,17,319,17.0,323.0,17.0,323.0,17.0,281.0,0.0,0.0,148.0,2732.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,496.72727272727275,26.90909090909091
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,0.0,0.0
Ratón Loroco,82,281,83,308,85,302,87,319,87,327,87,327,87.0,323.0,87.0,327.0,87.0,318.0,0.0,0.0,772.0,2832.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,514.9090909090909,140.36363636363637
Remolino,26,119,66,359,64,347,66,345,66,344,65,349,66.0,355.0,66.0,354.0,66.0,347.0,0.0,0.0,551.0,2919.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,530.7272727272727,100.18181818181819
Rascacielos,8,142,9,161,11,198,10,180,12,216,10,179,10.0,178.0,11.0,196.0,10.0,176.0,0.0,0.0,91.0,1626.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,295.6363636363636,16.545454545454547
Tronco Splash,72,205,138,401,144,414,143,402,140,408,143,432,144.0,414.0,138.0,416.0,118.0,390.0,0.0,0.0,1180.0,3482.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,633.0909090909091,214.54545454545453
Bumperazo,4,42,7,165,6,147,7,174,7,162,6,135,6.0,147.0,7.0,178.0,8.0,202.0,0.0,0.0,58.0,1352.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,245.8181818181818,10.545454545454545
Brincanguro,6,111,8,181,8,172,8,175,8,178,8,179,8.0,184.0,8.0,182.0,9.0,200.0,0.0,0.0,71.0,1562.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,284.0,12.909090909090908
Moto Bala,14,168,17,202,17,200,17,201,17,202,17,204,17.0,202.0,17.0,204.0,17.0,202.0,0.0,0.0,150.0,1785.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,324.54545454545456,27.272727272727273
Convoy,9,39,10,64,13,137,13,113,15,126,14,130,13.0,139.0,13.0,139.0,12.0,102.0,0.0,0.0,112.0,989.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,179.8181818181818,20.363636363636363
Bumpercitos,6,52,9,101,9,105,10,126,10,126,11,140,11.0,140.0,11.0,135.0,11.0,145.0,0.0,0.0,88.0,1070.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,194.54545454545453,16.0
Bici Magica,12,91,12,136,11,127,10,114,11,123,11,110,12.0,135.0,12.0,132.0,12.0,87.0,0.0,0.0,103.0,1055.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,191.8181818181818,18.727272727272727
Polo Norte,10,58,10,78,9,60,9,59,10,63,11,77,11.0,78.0,11.0,80.0,11.0,82.0,0.0,0.0,92.0,635.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,115.45454545454545,16.727272727272727
Sol De Mi Barrio,3,11,7,146,6,194,4,325,4,303,4,319,4.0,302.0,4.0,292.0,8.0,222.0,0.0,0.0,44.0,2114.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,384.3636363636364,8.0
Tifón,4,61,9,143,10,160,10,160,10,160,10,160,8.0,127.0,10.0,160.0,10.0,159.0,0.0,0.0,81.0,1290.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,234.54545454545453,14.727272727272727
Carrusel,8,75,12,205,11,279,11,229,12,205,10,251,11.0,276.0,11.0,358.0,10.0,179.0,0.0,0.0,96.0,2057.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,374.0,17.454545454545453
Trencito,7,160,7,209,7,211,7,213,7,194,7,200,7.0,204.0,7.0,201.0,7.0,205.0,0.0,0.0,63.0,1797.0,2024-03-10,False,Ninguno,29.0,16.0,Patchy rain possible,0,326.72727272727275,11.454545454545455
