juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,40,6,86,6,95,6,101,6,105,6,97,6.0,85.0,6.0,85.0,0.0,0.0,0.0,0.0,48.0,694.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,126.18181818181819,8.727272727272727
Samba Balloon,5,11,6,69,8,132,8,135,8,120,8,96,8.0,116.0,7.0,89.0,0.0,0.0,0.0,0.0,58.0,768.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,139.63636363636363,10.545454545454545
Loco Bus,6,34,9,129,11,149,11,171,8,135,8,135,9.0,138.0,9.0,116.0,0.0,0.0,0.0,0.0,71.0,1007.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,183.0909090909091,12.909090909090908
Dragon,10,160,10,199,16,315,18,358,18,360,18,360,18.0,360.0,18.0,360.0,0.0,0.0,0.0,0.0,126.0,2472.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,449.45454545454544,22.90909090909091
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,0.0,0.0
Ratón Loroco,0,0,0,0,0,0,0,0,36,134,56,219,56.0,220.0,72.0,246.0,0.0,0.0,0.0,0.0,220.0,819.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,148.9090909090909,40.0
Remolino,20,91,46,249,46,245,52,277,63,340,62,355,58.0,310.0,61.0,320.0,0.0,0.0,0.0,0.0,408.0,2187.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,397.6363636363636,74.18181818181819
Rascacielos,8,88,4,66,9,162,10,176,9,162,9,162,10.0,176.0,9.0,158.0,0.0,0.0,0.0,0.0,68.0,1150.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,209.0909090909091,12.363636363636363
Tronco Splash,32,89,45,133,139,382,141,405,144,496,144,556,144.0,422.0,144.0,381.0,0.0,0.0,0.0,0.0,933.0,2864.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,520.7272727272727,169.63636363636363
Bumperazo,5,52,7,154,7,169,7,181,7,173,8,196,7.0,176.0,8.0,208.0,0.0,0.0,0.0,0.0,56.0,1309.0,2024-01-20,False,Ninguno,26.0,14.0,Patchy rain possible,0,238.0,10.181818181818182
