juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,62,6,113,6,111,1,18,0,0,3,57,3.0,53.0,6.0,114.0,0.0,0.0,0.0,0.0,29.0,528.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,96.0,5.2727272727272725
Samba Balloon,11,58,7,85,10,161,2,16,0,0,4,30,1.0,12.0,11.0,109.0,0.0,0.0,0.0,0.0,46.0,471.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,85.63636363636364,8.363636363636363
Loco Bus,10,33,10,117,8,139,0,0,0,0,5,62,2.0,29.0,10.0,129.0,0.0,0.0,0.0,0.0,45.0,509.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,92.54545454545455,8.181818181818182
Dragon,11,122,15,300,14,280,0,0,0,0,0,0,0.0,0.0,10.0,196.0,0.0,0.0,0.0,0.0,50.0,898.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,163.27272727272728,9.090909090909092
Comanche,10,170,10,230,8,187,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,587.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,106.72727272727273,5.090909090909091
Ratón Loroco,31,125,86,337,88,342,8,32,0,0,72,275,22.0,87.0,83.0,322.0,0.0,0.0,0.0,0.0,390.0,1520.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,276.3636363636364,70.9090909090909
Remolino,22,81,72,408,6,30,0,0,0,0,46,231,72.0,392.0,50.0,241.0,0.0,0.0,0.0,0.0,268.0,1383.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,251.45454545454547,48.72727272727273
Rascacielos,8,138,10,176,10,179,2,36,0,0,10,179,6.0,107.0,8.0,131.0,0.0,0.0,0.0,0.0,54.0,946.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,172.0,9.818181818181818
Tronco Splash,46,129,144,418,144,449,122,388,100,271,144,409,108.0,294.0,87.0,209.0,0.0,0.0,0.0,0.0,895.0,2567.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,466.72727272727275,162.72727272727272
Bumperazo,5,41,7,174,7,177,8,195,8,212,8,205,8.0,196.0,7.0,162.0,0.0,0.0,0.0,0.0,58.0,1362.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,247.63636363636363,10.545454545454545
Brincanguro,5,90,8,187,8,188,1,24,0,0,4,88,4.0,96.0,8.0,179.0,0.0,0.0,0.0,0.0,38.0,852.0,2024-06-29,False,Ninguno,20.0,17.0,Moderate or heavy rain shower,0,154.9090909090909,6.909090909090909
