juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,62,6,95,6,108,6,94,6,56,6,67,6.0,79.0,6.0,52.0,0.0,0.0,0.0,0.0,47.0,613.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,111.45454545454545,8.545454545454545
Samba Balloon,10,75,10,133,10,159,10,141,10,67,10,100,10.0,119.0,10.0,79.0,0.0,0.0,0.0,0.0,80.0,873.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,158.72727272727272,14.545454545454545
Loco Bus,10,89,13,175,14,250,12,159,10,79,13,184,12.0,170.0,10.0,127.0,0.0,0.0,0.0,0.0,94.0,1233.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,224.1818181818182,17.09090909090909
Dragon,18,336,17,320,17,327,17,329,17,317,17,330,5.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2057.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,374.0,19.636363636363637
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,0.0,0.0
Ratón Loroco,72,258,72,267,70,234,72,257,72,258,72,266,72.0,261.0,72.0,251.0,0.0,0.0,0.0,0.0,574.0,2052.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,373.09090909090907,104.36363636363636
Remolino,50,243,66,338,66,366,68,376,66,356,66,357,66.0,349.0,56.0,300.0,0.0,0.0,0.0,0.0,504.0,2685.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,488.1818181818182,91.63636363636364
Rascacielos,10,176,10,175,10,180,10,177,10,180,10,178,10.0,178.0,10.0,172.0,0.0,0.0,0.0,0.0,80.0,1416.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,257.45454545454544,14.545454545454545
Tronco Splash,144,480,18,53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,533.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,96.9090909090909,29.454545454545453
Bumperazo,6,112,6,153,7,166,7,181,8,201,8,209,8.0,201.0,8.0,185.0,0.0,0.0,0.0,0.0,58.0,1408.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,256.0,10.545454545454545
Brincanguro,6,131,8,191,8,187,8,186,8,189,8,187,8.0,184.0,7.0,162.0,0.0,0.0,0.0,0.0,61.0,1417.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,257.6363636363636,11.090909090909092
Moto Bala,24,285,25,295,25,296,25,300,24,283,25,297,25.0,297.0,25.0,296.0,0.0,0.0,0.0,0.0,198.0,2349.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,427.09090909090907,36.0
Convoy,11,116,12,84,12,76,12,68,13,62,13,59,14.0,95.0,16.0,73.0,0.0,0.0,0.0,0.0,103.0,633.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,115.0909090909091,18.727272727272727
Bumpercitos,9,112,10,147,10,135,10,140,9,89,10,136,10.0,143.0,10.0,120.0,0.0,0.0,0.0,0.0,78.0,1022.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,185.8181818181818,14.181818181818182
Bici Magica,10,102,9,106,10,108,11,102,11,56,10,100,11.0,125.0,11.0,76.0,0.0,0.0,0.0,0.0,83.0,775.0,2024-04-05,False,Ninguno,26.0,15.0,Moderate or heavy rain shower,0,140.9090909090909,15.090909090909092
