juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,5,67,6,103,6,103,6,100,6,105,6,103,6.0,100.0,6.0,95.0,0.0,0.0,0.0,0.0,47.0,776.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,141.0909090909091,8.545454545454545
Samba Balloon,7,37,7,90,8,105,9,117,10,124,7,75,9.0,104.0,10.0,124.0,0.0,0.0,0.0,0.0,67.0,776.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,141.0909090909091,12.181818181818182
Loco Bus,4,20,10,175,11,150,11,104,11,131,9,130,9.0,102.0,10.0,124.0,0.0,0.0,0.0,0.0,75.0,936.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,170.1818181818182,13.636363636363637
Dragon,10,131,14,273,14,279,13,255,10,198,3,56,12.0,240.0,10.0,171.0,0.0,0.0,0.0,0.0,86.0,1603.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,291.45454545454544,15.636363636363637
Comanche,8,159,9,211,10,236,10,238,10,236,0,0,10.0,237.0,10.0,237.0,0.0,0.0,0.0,0.0,67.0,1554.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,282.54545454545456,12.181818181818182
Ratón Loroco,44,172,72,272,81,306,82,301,80,295,81,307,82.0,315.0,80.0,304.0,0.0,0.0,0.0,0.0,602.0,2272.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,413.09090909090907,109.45454545454545
Remolino,36,161,72,389,69,372,72,391,70,394,62,363,72.0,395.0,72.0,413.0,0.0,0.0,0.0,0.0,525.0,2878.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,523.2727272727273,95.45454545454545
Rascacielos,7,103,8,132,10,165,10,168,10,170,10,166,10.0,158.0,10.0,155.0,0.0,0.0,0.0,0.0,75.0,1217.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,221.27272727272728,13.636363636363637
Tronco Splash,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,0.0,0.0
Bumperazo,7,101,16,261,9,218,9,222,9,227,10,249,8.0,198.0,9.0,214.0,0.0,0.0,0.0,0.0,77.0,1690.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,307.27272727272725,14.0
Brincanguro,8,163,8,191,8,190,9,191,8,189,8,186,8.0,168.0,7.0,160.0,0.0,0.0,0.0,0.0,64.0,1438.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,261.45454545454544,11.636363636363637
Moto Bala,24,274,25,288,25,297,25,298,25,300,25,297,25.0,295.0,24.0,283.0,0.0,0.0,0.0,0.0,198.0,2332.0,2024-06-01,False,Ninguno,27.0,16.0,Moderate rain at times,0,424.0,36.0
