juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,31,6,86,7,52,6,58,5,27,6,70,6.0,56.0,6.0,31.0,0.0,0.0,0.0,0.0,46.0,411.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,74.72727272727273,8.363636363636363
Samba Balloon,3,13,5,35,8,81,8,50,7,31,7,54,6.0,44.0,5.0,12.0,0.0,0.0,0.0,0.0,49.0,320.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,58.18181818181818,8.909090909090908
Loco Bus,5,36,12,90,11,124,11,98,8,81,13,138,12.0,112.0,5.0,30.0,0.0,0.0,0.0,0.0,77.0,709.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,128.9090909090909,14.0
Dragon,16,287,17,324,3,56,15,262,17,323,17,326,16.0,218.0,9.0,40.0,0.0,0.0,0.0,0.0,110.0,1836.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,333.8181818181818,20.0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,0.0,0.0
Ratón Loroco,72,232,82,295,72,251,81,290,82,306,82,309,76.0,286.0,72.0,221.0,0.0,0.0,0.0,0.0,619.0,2190.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,398.1818181818182,112.54545454545455
Remolino,18,103,62,345,56,303,62,325,63,343,66,351,62.0,310.0,62.0,276.0,0.0,0.0,0.0,0.0,451.0,2356.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,428.3636363636364,82.0
Rascacielos,12,216,11,193,10,178,10,177,10,180,11,198,12.0,206.0,9.0,76.0,0.0,0.0,0.0,0.0,85.0,1424.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,258.90909090909093,15.454545454545455
Tronco Splash,94,280,108,319,108,313,108,305,108,311,108,311,108.0,321.0,108.0,319.0,0.0,0.0,0.0,0.0,850.0,2479.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,450.72727272727275,154.54545454545453
Bumperazo,5,93,6,148,8,201,6,157,7,173,7,134,7.0,176.0,8.0,177.0,0.0,0.0,0.0,0.0,54.0,1259.0,2024-03-01,False,Ninguno,28.0,14.0,Cloudy,0,228.9090909090909,9.818181818181818
