juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,76,6,90,6,102,6,101,6,92,6,98,6.0,105.0,6.0,99.0,0.0,0.0,0.0,0.0,48.0,763.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,138.72727272727272,8.727272727272727
Samba Balloon,7,37,9,120,9,124,8,86,9,128,10,127,8.0,104.0,8.0,94.0,0.0,0.0,0.0,0.0,68.0,820.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,149.0909090909091,12.363636363636363
Loco Bus,6,42,9,119,9,155,8,126,10,96,10,154,8.0,128.0,8.0,86.0,0.0,0.0,0.0,0.0,68.0,906.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,164.72727272727272,12.363636363636363
Dragon,16,336,16,320,16,320,16,320,17,340,17,340,16.0,320.0,16.0,320.0,0.0,0.0,0.0,0.0,130.0,2616.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,475.6363636363636,23.636363636363637
Comanche,7,72,8,178,9,209,9,200,9,206,8,190,9.0,206.0,8.0,173.0,0.0,0.0,0.0,0.0,67.0,1434.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,260.72727272727275,12.181818181818182
Ratón Loroco,67,249,72,264,85,324,82,289,84,323,82,298,86.0,310.0,72.0,282.0,0.0,0.0,0.0,0.0,630.0,2339.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,425.27272727272725,114.54545454545455
Remolino,36,148,60,339,55,315,59,325,56,268,56,304,60.0,337.0,58.0,321.0,0.0,0.0,0.0,0.0,440.0,2357.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,428.54545454545456,80.0
Rascacielos,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,0.0,0.0
Tronco Splash,77,242,144,442,144,442,144,426,144,415,144,436,144.0,420.0,144.0,431.0,0.0,0.0,0.0,0.0,1085.0,3254.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,591.6363636363636,197.27272727272728
Bumperazo,3,67,9,238,9,232,9,224,9,228,9,239,9.0,223.0,9.0,231.0,0.0,0.0,0.0,0.0,66.0,1682.0,2024-08-17,False,Ninguno,24.0,15.0,Moderate or heavy rain shower,0,305.8181818181818,12.0
