juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,4,58,6,86,6,64,6,61,6,46,6,37,6.0,28.0,6.0,23.0,0.0,0.0,0.0,0.0,46.0,403.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,73.27272727272727,8.363636363636363
Samba Balloon,5,57,8,91,9,67,7,28,7,42,7,54,8.0,41.0,7.0,49.0,0.0,0.0,0.0,0.0,58.0,429.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,78.0,10.545454545454545
Loco Bus,5,49,8,108,8,88,11,99,8,66,9,78,7.0,42.0,9.0,45.0,0.0,0.0,0.0,0.0,65.0,575.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,104.54545454545455,11.818181818181818
Dragon,17,340,17,340,17,340,17,340,17,340,17,340,16.0,320.0,16.0,179.0,0.0,0.0,0.0,0.0,134.0,2539.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,461.6363636363636,24.363636363636363
Comanche,6,135,8,186,8,189,9,210,9,211,8,188,8.0,187.0,8.0,186.0,0.0,0.0,0.0,0.0,64.0,1492.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,271.27272727272725,11.636363636363637
Ratón Loroco,66,229,82,308,82,304,82,318,82,290,82,320,82.0,308.0,72.0,258.0,0.0,0.0,0.0,0.0,630.0,2335.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,424.54545454545456,114.54545454545455
Remolino,0,0,0,0,0,0,0,0,0,0,0,0,33.0,203.0,56.0,326.0,0.0,0.0,0.0,0.0,89.0,529.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,96.18181818181819,16.181818181818183
Rascacielos,10,165,10,169,5,85,10,169,10,170,10,167,10.0,166.0,10.0,166.0,0.0,0.0,0.0,0.0,75.0,1257.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,228.54545454545453,13.636363636363637
Tronco Splash,116,345,142,391,144,481,144,439,144,474,144,454,144.0,421.0,144.0,429.0,0.0,0.0,0.0,0.0,1122.0,3434.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,624.3636363636364,204.0
Bumperazo,8,194,10,272,10,288,9,237,10,281,10,270,10.0,261.0,10.0,259.0,0.0,0.0,0.0,0.0,77.0,2062.0,2024-09-26,False,Ninguno,22.0,16.0,Patchy rain possible,0,374.90909090909093,14.0
