juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,1,18,6,99,6,89,6,90,6,91,6,96,6.0,97.0,6.0,106.0,6.0,108.0,0.0,0.0,49.0,794.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,144.36363636363637,8.909090909090908
Samba Balloon,6,93,5,79,8,132,7,105,7,128,7,121,8.0,136.0,7.0,109.0,9.0,156.0,0.0,0.0,64.0,1059.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,192.54545454545453,11.636363636363637
Loco Bus,9,141,10,162,10,181,10,169,8,142,9,160,10.0,189.0,10.0,189.0,7.0,128.0,0.0,0.0,83.0,1461.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,265.6363636363636,15.090909090909092
Dragon,12,213,16,320,16,320,16,320,16,320,16,320,16.0,320.0,16.0,320.0,16.0,320.0,0.0,0.0,140.0,2773.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,504.1818181818182,25.454545454545453
Comanche,6,76,7,163,10,240,11,262,11,262,10,240,11.0,263.0,12.0,282.0,10.0,240.0,0.0,0.0,88.0,2028.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,368.72727272727275,16.0
Ratón Loroco,72,245,82,273,77,264,82,298,82,278,82,295,82.0,301.0,82.0,292.0,82.0,272.0,0.0,0.0,723.0,2518.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,457.8181818181818,131.45454545454547
Remolino,36,152,66,383,63,342,64,344,59,334,30,163,33.0,198.0,36.0,199.0,0.0,0.0,0.0,0.0,387.0,2115.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,384.54545454545456,70.36363636363636
Rascacielos,10,177,10,180,10,180,10,180,10,180,10,180,10.0,180.0,9.0,162.0,4.0,72.0,0.0,0.0,83.0,1491.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,271.09090909090907,15.090909090909092
Tronco Splash,78,212,144,422,140,429,136,471,144,396,144,400,144.0,413.0,144.0,373.0,144.0,414.0,0.0,0.0,1218.0,3530.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,641.8181818181819,221.45454545454547
Bumperazo,8,130,8,208,8,206,8,216,8,209,8,200,8.0,216.0,8.0,217.0,8.0,227.0,0.0,0.0,72.0,1829.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,332.54545454545456,13.090909090909092
Brincanguro,8,178,8,190,8,191,8,192,5,120,8,191,8.0,190.0,8.0,191.0,8.0,190.0,0.0,0.0,69.0,1633.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,296.90909090909093,12.545454545454545
Moto Bala,20,238,27,317,30,355,30,351,29,344,30,358,30.0,356.0,30.0,360.0,30.0,358.0,0.0,0.0,256.0,3037.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,552.1818181818181,46.54545454545455
Convoy,13,113,15,124,16,137,16,171,16,178,15,168,15.0,172.0,17.0,199.0,15.0,173.0,0.0,0.0,138.0,1435.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,260.90909090909093,25.09090909090909
Bumpercitos,8,105,8,113,8,122,8,120,7,102,8,116,8.0,112.0,8.0,116.0,8.0,113.0,0.0,0.0,71.0,1019.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,185.27272727272728,12.909090909090908
Bici Magica,10,103,12,139,12,141,11,131,12,140,12,141,12.0,140.0,12.0,142.0,12.0,136.0,0.0,0.0,105.0,1213.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,220.54545454545453,19.09090909090909
Polo Norte,6,28,10,66,10,68,10,76,10,81,10,82,10.0,87.0,10.0,89.0,10.0,83.0,0.0,0.0,86.0,660.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,120.0,15.636363636363637
Sol De Mi Barrio,3,57,5,200,3,152,3,190,3,196,3,193,3.0,172.0,3.0,187.0,3.0,180.0,0.0,0.0,29.0,1527.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,277.6363636363636,5.2727272727272725
Tifón,8,126,9,143,9,144,7,112,8,128,9,143,9.0,143.0,8.0,127.0,9.0,144.0,0.0,0.0,76.0,1210.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,220.0,13.818181818181818
Carrusel,8,173,8,266,8,303,6,258,8,360,6,258,7.0,283.0,7.0,313.0,6.0,258.0,0.0,0.0,64.0,2472.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,449.45454545454544,11.636363636363637
Trencito,6,137,7,287,7,286,8,313,8,339,8,350,6.0,234.0,8.0,303.0,8.0,301.0,0.0,0.0,66.0,2550.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,463.6363636363636,12.0
El Revoloteo,8,178,8,187,8,188,8,188,8,189,9,214,9.0,214.0,9.0,212.0,9.0,216.0,0.0,0.0,76.0,1786.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,324.72727272727275,13.818181818181818
Guerra Pirata,5,51,8,139,9,182,8,165,9,190,10,204,9.0,189.0,8.0,170.0,9.0,161.0,0.0,0.0,75.0,1451.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,263.8181818181818,13.636363636363637
Faro Saltarín,6,75,10,125,10,124,10,132,10,126,10,127,10.0,127.0,9.0,116.0,8.0,103.0,0.0,0.0,83.0,1055.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,191.8181818181818,15.090909090909092
El Relámpago,24,198,30,287,30,266,30,245,30,264,30,263,30.0,266.0,30.0,264.0,32.0,276.0,0.0,0.0,266.0,2329.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,423.45454545454544,48.36363636363637
Casichoco,3,30,6,157,6,145,5,120,5,130,5,133,6.0,143.0,6.0,159.0,6.0,156.0,0.0,0.0,48.0,1173.0,2024-12-08,False,Ninguno,22.0,13.0,Overcast,0,213.27272727272728,8.727272727272727
