juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,6,23,6,85,6,99,6,109,6,96,6,99,6.0,94.0,6.0,84.0,0.0,0.0,0.0,0.0,66.0,787.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,134.1818181818182,10.363636363636363
Samba Balloon,7,40,8,74,8,90,8,113,8,98,8,79,7.0,87.0,7.0,85.0,0.0,0.0,0.0,0.0,75.0,773.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,130.8181818181818,12.363636363636363
Loco Bus,6,38,10,90,12,99,10,152,8,117,10,145,9.0,132.0,8.0,133.0,0.0,0.0,0.0,0.0,89.0,1041.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,177.0,14.727272727272727
Dragon,5,55,15,280,18,360,18,360,18,360,18,360,17.0,358.0,18.0,360.0,0.0,0.0,0.0,0.0,158.0,2861.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,486.72727272727275,25.90909090909091
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,0.0,0.0
Ratón Loroco,41,154,82,323,82,289,82,289,82,308,82,298,82.0,283.0,82.0,322.0,0.0,0.0,0.0,0.0,736.0,2658.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,447.6363636363636,122.81818181818181
Remolino,20,90,56,272,60,326,62,343,62,350,61,331,60.0,319.0,60.0,312.0,0.0,0.0,0.0,0.0,488.0,2567.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,446.3636363636364,84.45454545454545
Rascacielos,5,51,10,168,9,161,9,160,8,142,9,161,10.0,180.0,10.0,177.0,0.0,0.0,0.0,0.0,109.0,1849.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,277.1818181818182,16.272727272727273
Tronco Splash,29,80,112,323,123,369,121,329,119,323,135,388,128.0,360.0,133.0,391.0,0.0,0.0,0.0,0.0,965.0,2735.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,481.6363636363636,169.54545454545453
Bumperazo,6,53,7,148,8,207,7,186,7,187,7,186,7.0,184.0,7.0,178.0,0.0,0.0,0.0,0.0,91.0,2023.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,304.72727272727275,13.363636363636363
Brincanguro,5,19,7,164,7,160,7,161,7,161,7,160,7.0,166.0,7.0,164.0,0.0,0.0,0.0,0.0,82.0,1490.0,2024-01-27,False,Ninguno,29.0,14.0,Cloudy,0,240.45454545454547,12.363636363636363
